Protein ID,HL Source,CLClim0NE Clim0 half life (min),gene symbol,Stability
ASNSYNB-MONOMER,Clim0,298.4,asnB,Less Stable
ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER,Clim0,332.70000000000005,asd,Less Stable
ASPAMINOTRANS-MONOMER,Clim0,333.30000000000007,aspC,Less Stable
ASPCARBCAT-MONOMER,Clim0,350.1,pyrB,Less Stable
ASPCARBREG-MONOMER,Clim0,311.6000000000001,pyrI,Less Stable
ASPKINIIHOMOSERDEHYDROGII-MONOMER,Clim0,293.4,metL,Less Stable
ASPKINIII-MONOMER,Clim0,280.4,lysC,Less Stable
ASPS-MONOMER,Clim0,720.0000000000001,aspS,More Stable
ATOC-MONOMER,Clim0,333.8,atoC,Less Stable
ATPA-MONOMER,Clim0,698.3000000000001,atpA,More Stable
ATPB-MONOMER,Clim0,720.0000000000001,atpB,More Stable
ATPC-MONOMER,Clim0,673.0,atpC,More Stable
ATPD-MONOMER,Clim0,720.0000000000001,atpD,More Stable
ATPE-MONOMER,Clim0,355.7,atpE,Less Stable
ATPF-MONOMER,Clim0,720.0000000000001,atpF,More Stable
ATPG-MONOMER,Clim0,720.0000000000001,atpG,More Stable
ATPH-MONOMER,Clim0,720.0000000000001,atpH,More Stable
ATPPHOSRIBOSTRANS-MONOMER,Clim0,296.5,hisG,Less Stable
B0260-MONOMER,Clim0,247.7,mmuP,Less Stable
B0427-MONOMER,Clim0,326.80000000000007,yajR,Less Stable
B0899-MONOMER,Clim0,347.30000000000007,ygaM,Less Stable
B2076-MONOMER,Clim0,720.0000000000001,mdtC,More Stable
BADH-MONOMER,Clim0,312.8,betB,Less Stable
BAER-MONOMER,Clim0,332.19999999999993,baeR,Less Stable
BAES-MONOMER,Clim0,675.9,baeS,More Stable
BARA-MONOMER,Clim0,359.1,barA,Less Stable
BASR-MONOMER,Clim0,319.8,basR,Less Stable
BASS-MONOMER,Clim0,359.49999999999994,basS,Less Stable
BCCP-MONOMER,Clim0,330.90000000000003,accB,Less Stable
BETA-GLUCURONID-MONOMER,Clim0,327.8,uidA,Less Stable
BETAGALACTOSID-MONOMER,Clim0,323.90000000000003,lacZ,Less Stable
BIOTIN-CARBOXYL-MONOMER,Clim0,676.7,accC,More Stable
BTUE-MONOMER,Clim0,295.7,btuE,Less Stable
CARBOXYL-TRANSFERASE-ALPHA-MONOMER,Clim0,720.0000000000001,accA,More Stable
CARBOXYL-TRANSFERASE-BETA-MONOMER,Clim0,671.2,accD,More Stable
CARBPSYN-LARGE,Clim0,344.8,carB,Less Stable
CARDIOLIPSYN-MONOMER,Clim0,720.0000000000001,clsA,More Stable
CARNRACE-MONOMER,Clim0,297.5,caiD,Less Stable
CCME-MONOMER,Clim0,535.2,ccmE,Less Stable
CDPDIGLYPYPHOSPHA-MONOMER,Clim0,720.0000000000001,cdh,More Stable
CHAINI-MONOMER,Clim0,282.6,argI,Less Stable
CHEB-MONOMER,Clim0,192.7,cheB,Less Stable
CHEW-MONOMER,Clim0,104.50000000008478,cheW,Less Stable
CHEY-MONOMER,Clim0,244.7,cheY,Less Stable
CHORISMUTPREPHENDEHYDRAT-MONOMER,Clim0,322.5,pheA,Less Stable
CITSYN-MONOMER,Clim0,314.3,gltA,Less Stable
CMPKI-MONOMER,Clim0,326.70000000000005,cmk,Less Stable
COBALADENOSYLTRANS-MONOMER,Clim0,303.1,btuR,Less Stable
COBS-MONOMER,Clim0,720.0000000000001,cobS,More Stable
COPROGENOXI-MONOMER,Clim0,314.3999999999999,hemF,Less Stable
CORA-MONOMER,Clim0,706.6,corA,More Stable
CPDB-MONOMER,Clim0,720.0000000000001,cpdB,More Stable
CPM-KDOSYNTH-MONOMER,Clim0,647.5,kdsB,More Stable
CPXA-MONOMER,Clim0,355.40000000000003,cpxA,Less Stable
CPXR-MONOMER,Clim0,326.3,cpxR,Less Stable
CREB-MONOMER,Clim0,291.7,creB,Less Stable
CREC-MONOMER,Clim0,597.2,creC,Less Stable
CRR-MONOMER,Clim0,320.1,crr,Less Stable
CTPSYN-MONOMER,Clim0,720.0000000000001,pyrG,More Stable
CYCLASE-MONOMER,Clim0,331.6000000000001,hisF,Less Stable
CYDA-MONOMER,Clim0,720.0000000000001,cydA,More Stable
CYDC-MONOMER,Clim0,720.0000000000001,cydC,More Stable
CYDD-MONOMER,Clim0,720.0000000000001,cydD,More Stable
CYOA-MONOMER,Clim0,720.0000000000001,cyoA,More Stable
CYOB-MONOMER,Clim0,720.0000000000001,cyoB,More Stable
CYSA-MONOMER,Clim0,215.0,cysA,Less Stable
CYSP-MONOMER,Clim0,601.0000000000001,cysP,More Stable
CYSS-MONOMER,Clim0,324.4,cysS,Less Stable
CYSTATHIONINE-BETA-LYASE-MONOMER,Clim0,285.50000000000006,metC,Less Stable
CYTDEAM-MONOMER,Clim0,720.0000000000001,codA,More Stable
CYTIDEAM-MONOMER,Clim0,643.1000000000001,cdd,More Stable
DALADALALIGA-MONOMER,Clim0,627.5000000000001,ddlA,More Stable
DALADALALIGB-MONOMER,Clim0,720.0000000000001,ddlB,More Stable
DAPASYN-MONOMER,Clim0,356.8,bioA,Less Stable
DCTA-MONOMER,Clim0,335.50000000000006,dctA,Less Stable
DCTP-DEAM-MONOMER,Clim0,288.7,dcd,Less Stable
DCUS-MONOMER,Clim0,353.00000000000006,dcuS,Less Stable
DCYSDESULF-MONOMER,Clim0,720.0000000000001,dcyD,More Stable
DEOA-MONOMER,Clim0,720.0000000000001,deoA,More Stable
DEOD-MONOMER,Clim0,720.0000000000001,deoD,More Stable
DEOXYGLUCONOKIN-MONOMER,Clim0,357.40000000000003,kdgK,Less Stable
DEOXYRIBOSE-P-ALD-MONOMER,Clim0,720.0000000000001,deoC,More Stable
DGTPTRIPHYDRO-MONOMER,Clim0,698.0,dgt,More Stable
DHHB-METHYLTRANSFER-MONOMER,Clim0,297.5,ubiG,Less Stable
DIACYLGLYKIN-MONOMER,Clim0,720.0000000000001,dgkA,More Stable
DIAMINOPIMEPIM-MONOMER,Clim0,355.40000000000003,dapF,Less Stable
DIENOYLCOAREDUCT-MONOMER,Clim0,296.3,fadH,Less Stable
DIHYDROFOLATEREDUCT-MONOMER,Clim0,693.8,folA,More Stable
DIHYDROOROT-MONOMER,Clim0,338.5,pyrC,Less Stable
DIHYDROOROTOX-MONOMER,Clim0,720.0000000000001,pyrD,More Stable
DIHYDROPICRED-MONOMER,Clim0,718.9,dapB,More Stable
DIHYDROXYACIDDEHYDRAT-MONOMER,Clim0,318.40000000000003,ilvD,Less Stable
DISULFOXRED-MONOMER,Clim0,319.1000000000001,dsbA,Less Stable
DLACTDEHYDROGFAD-MONOMER,Clim0,256.80000000000007,dld,Less Stable
DLACTDEHYDROGNAD-MONOMER,Clim0,358.20000000000005,ldhA,Less Stable
DPPA-MONOMER,Clim0,720.0000000000001,dppA,More Stable
DPPB-MONOMER,Clim0,720.0000000000001,dppB,More Stable
DPPD-MONOMER,Clim0,718.6000000000001,dppD,More Stable
DPPF-MONOMER,Clim0,696.2,dppF,More Stable
DSBC-MONOMER,Clim0,341.8999999999999,dsbC,Less Stable
DSBD-MONOMER,Clim0,720.0000000000001,dsbD,More Stable
DSBG-MONOMER,Clim0,675.9,dsbG,More Stable
DSERDEAM-MONOMER,Clim0,600.2,dsdA,More Stable
DTDPGLUCDEHYDRAT2-MONOMER,Clim0,702.0000000000001,rffG,More Stable
DTDPGLUCOSEPP2-MONOMER,Clim0,641.2,rffH,More Stable
DTMPKI-MONOMER,Clim0,306.7,tmk,Less Stable
DUTP-PYROP-MONOMER,Clim0,720.0000000000001,dut,More Stable
DXS-MONOMER,Clim0,643.5,dxs,More Stable
E1O-MONOMER,Clim0,308.0,sucA,Less Stable
E1P-MONOMER,Clim0,720.0000000000001,aceE,More Stable
E2O-MONOMER,Clim0,342.1,sucB,Less Stable
E2P-MONOMER,Clim0,346.70000000000005,aceF,Less Stable
E3-MONOMER,Clim0,720.0000000000001,lpd,More Stable
EG10015-MONOMER,Clim0,341.2,rodZ,Less Stable
EG10018-MONOMER,Clim0,720.0000000000001,csrD,More Stable
EG10021-MONOMER,Clim0,308.4,yjiA,Less Stable
EG10040-MONOMER,Clim0,357.59999999999997,ampC,Less Stable
EG10041-MONOMER,Clim0,246.70000000000002,ampD,Less Stable
EG10042-MONOMER,Clim0,720.0000000000001,ampE,More Stable
EG10043-MONOMER,Clim0,341.6,cysQ,Less Stable
EG10044-MONOMER,Clim0,626.2999999999998,osmE,More Stable
EG10048-MONOMER,Clim0,283.1,apaH,Less Stable
EG10087-MONOMER,Clim0,294.5,ascG,Less Stable
EG10108-MONOMER,Clim0,321.70000000000005,bcp,Less Stable
EG10113-MONOMER,Clim0,681.2,bfr,More Stable
EG10122-MONOMER,Clim0,720.0000000000001,bioH,More Stable
EG10126-MONOMER,Clim0,720.0000000000001,btuB,More Stable
EG10136-MONOMER,Clim0,303.6,cca,Less Stable
EG10144-MONOMER,Clim0,597.1000000000001,chbF,Less Stable
EG10153-MONOMER,Clim0,297.80000000000007,moeA,Less Stable
EG10154-MONOMER,Clim0,680.5,moeB,More Stable
EG10155-MONOMER,Clim0,720.0000000000001,cirA,More Stable
EG10158-MONOMER,Clim0,671.8,clpP,More Stable
EG10167-MONOMER,Clim0,320.70000000000005,cstA,Less Stable
EG10168-MONOMER,Clim0,720.0000000000001,lnt,More Stable
EG10201-MONOMER,Clim0,719.8000000000001,dacA,More Stable
EG10202-MONOMER,Clim0,720.0000000000001,dacB,More Stable
EG10203-MONOMER,Clim0,720.0000000000001,dacC,More Stable
EG10204-MONOMER,Clim0,338.8999999999999,dam,Less Stable
EG10211-MONOMER,Clim0,199.4,dcm,Less Stable
EG10212-MONOMER,Clim0,340.3,dcp,Less Stable
EG10215-MONOMER,Clim0,84.10000000001892,deaD,Less Stable
EG10226-MONOMER,Clim0,314.90000000000003,dicA,Less Stable
EG10239-MONOMER,Clim0,251.30000000000004,dnaG,Less Stable
EG10240-MONOMER,Clim0,298.1,dnaJ,Less Stable
EG10242-MONOMER,Clim0,358.9,dnaN,Less Stable
EG10252-MONOMER,Clim0,720.0000000000001,ebgA,More Stable
EG10272-MONOMER,Clim0,80.50000000004789,exbD,Less Stable
EG10280-MONOMER,Clim0,656.7,fadL,More Stable
EG10284-MONOMER,Clim0,208.90000000000003,fdhE,Less Stable
EG10293-MONOMER,Clim0,720.0000000000001,fepA,More Stable
EG10302-MONOMER,Clim0,720.0000000000001,fhuA,More Stable
EG10306-MONOMER,Clim0,720.0000000000001,fhuE,More Stable
EG10307-MONOMER,Clim0,608.9999999999999,fic,More Stable
EG10321-MONOMER,Clim0,43.00000000000827,fliC,Less Stable
EG10322-MONOMER,Clim0,102.9000000000057,fliL,Less Stable
EG10329-MONOMER,Clim0,720.0000000000001,mutM,More Stable
EG10339-MONOMER,Clim0,344.3,ftsA,Less Stable
EG10343-MONOMER,Clim0,334.1,rsmD,Less Stable
EG10346-MONOMER,Clim0,350.1,ftsY,Less Stable
EG10355-MONOMER,Clim0,720.0000000000001,fucU,More Stable
EG10360-MONOMER,Clim0,648.8,fusA,More Stable
EG10374-MONOMER,Clim0,720.0000000000001,ggt,More Stable
EG10376-MONOMER,Clim0,630.1999999999999,rsmG,More Stable
EG10381-MONOMER,Clim0,328.30000000000007,glgX,Less Stable
EG10416-MONOMER,Clim0,325.6,grpE,Less Stable
EG10423-MONOMER,Clim0,301.7,gyrA,Less Stable
EG10424-MONOMER,Clim0,352.8,gyrB,Less Stable
EG10434-MONOMER,Clim0,720.0000000000001,hemY,More Stable
EG10435-MONOMER,Clim0,701.5000000000001,hflC,More Stable
EG10436-MONOMER,Clim0,720.0000000000001,hflK,More Stable
EG10438-MONOMER,Clim0,720.0000000000001,hfq,More Stable
EG10443-MONOMER,Clim0,338.8,hipA,Less Stable
EG10454-MONOMER,Clim0,706.4,truA,More Stable
EG10455-MONOMER,Clim0,615.0999999999999,skp,More Stable
EG10459-MONOMER,Clim0,282.30000000000007,hsdR,Less Stable
EG10460-MONOMER,Clim0,653.0000000000001,hsdS,More Stable
EG10461-MONOMER,Clim0,345.4,htpG,Less Stable
EG10462-MONOMER,Clim0,289.70000000000005,htpX,Less Stable
EG10463-MONOMER,Clim0,353.00000000000006,degP,Less Stable
EG10466-MONOMER,Clim0,333.0,hupA,Less Stable
EG10467-MONOMER,Clim0,306.0,hupB,Less Stable
EG10484-MONOMER,Clim0,251.30000000000004,hypB,Less Stable
EG10486-MONOMER,Clim0,236.69999999999996,hypD,Less Stable
EG10490-MONOMER,Clim0,697.7,argP,More Stable
EG10504-MONOMER,Clim0,320.3,infA,Less Stable
EG10523-MONOMER,Clim0,720.0000000000001,rsmA,More Stable
EG10528-MONOMER,Clim0,720.0000000000001,lamB,More Stable
EG10529-MONOMER,Clim0,329.40000000000003,lepA,Less Stable
EG10530-MONOMER,Clim0,720.0000000000001,lepB,More Stable
EG10542-MONOMER,Clim0,356.6,lon,Less Stable
EG10544-MONOMER,Clim0,295.40000000000003,lpp,Less Stable
EG10559-MONOMER,Clim0,296.1,malM,Less Stable
EG10564-MONOMER,Clim0,315.70000000000005,malY,Less Stable
EG10570-MONOMER,Clim0,331.1,map,Less Stable
EG10595-MONOMER,Clim0,328.20000000000005,miaA,Less Stable
EG10596-MONOMER,Clim0,343.4,minC,Less Stable
EG10597-MONOMER,Clim0,332.70000000000005,minD,Less Stable
EG10599-MONOMER,Clim0,720.0000000000001,groL,More Stable
EG10600-MONOMER,Clim0,636.9,groS,More Stable
EG10603-MONOMER,Clim0,329.3,mprA,Less Stable
EG10606-MONOMER,Clim0,708.5,mrdA,More Stable
EG10607-MONOMER,Clim0,720.0000000000001,mrdB,More Stable
EG10608-MONOMER,Clim0,720.0000000000001,mreB,More Stable
EG10609-MONOMER,Clim0,334.3,mreC,Less Stable
EG10611-MONOMER,Clim0,313.4,mrp,Less Stable
EG10612-MONOMER,Clim0,292.7,mrr,Less Stable
EG10613-MONOMER,Clim0,337.80000000000007,msbA,Less Stable
EG10624-MONOMER,Clim0,309.7,mutH,Less Stable
EG10626-MONOMER,Clim0,302.7,mutT,Less Stable
EG10657-MONOMER,Clim0,329.7,nlpA,Less Stable
EG10658-MONOMER,Clim0,357.20000000000005,bamC,Less Stable
EG10662-MONOMER,Clim0,334.6000000000001,nth,Less Stable
EG10665-MONOMER,Clim0,633.0,nusA,More Stable
EG10666-MONOMER,Clim0,313.1,nusB,Less Stable
EG10667-MONOMER,Clim0,338.20000000000005,nusG,Less Stable
EG10669-MONOMER,Clim0,720.0000000000001,ompA,More Stable
EG10670-MONOMER,Clim0,697.0000000000001,ompC,More Stable
EG10671-MONOMER,Clim0,667.5000000000001,ompF,More Stable
EG10673-MONOMER,Clim0,690.1000000000001,ompT,More Stable
EG10680-MONOMER,Clim0,720.0000000000001,osmC,More Stable
EG10684-MONOMER,Clim0,336.20000000000005,pal,Less Stable
EG10689-MONOMER,Clim0,289.70000000000005,pcm,Less Stable
EG10694-MONOMER,Clim0,702.3000000000001,pepA,More Stable
EG10695-MONOMER,Clim0,336.70000000000005,pepD,Less Stable
EG10696-MONOMER,Clim0,333.1,pepN,Less Stable
EG10697-MONOMER,Clim0,720.0000000000001,pepP,More Stable
EG10698-MONOMER,Clim0,343.4,pepQ,Less Stable
EG10735-MONOMER,Clim0,302.1000000000001,phoU,Less Stable
EG10739-MONOMER,Clim0,676.9000000000001,pldB,More Stable
EG10746-MONOMER,Clim0,356.00000000000006,polA,Less Stable
EG10747-MONOMER,Clim0,294.3,polB,Less Stable
EG10748-MONOMER,Clim0,342.1,mrcA,Less Stable
EG10757-MONOMER,Clim0,298.80000000000007,ppiA,Less Stable
EG10758-MONOMER,Clim0,595.2,ppiB,Less Stable
EG10760-MONOMER,Clim0,339.7,prc,Less Stable
EG10761-MONOMER,Clim0,580.9000000000001,prfA,Less Stable
EG10762-MONOMER,Clim0,299.40000000000003,prfB,Less Stable
EG10763-MONOMER,Clim0,350.80000000000007,priA,Less Stable
EG10777-MONOMER,Clim0,720.0000000000001,pspB,More Stable
EG10778-MONOMER,Clim0,228.5,pspC,Less Stable
EG10785-MONOMER,Clim0,631.6,pth,More Stable
EG10786-MONOMER,Clim0,354.6,ptrA,Less Stable
EG10812-MONOMER,Clim0,288.9,queA,Less Stable
EG10817-MONOMER,Clim0,638.7,rbsD,More Stable
EG10824-MONOMER,Clim0,720.0000000000001,recB,More Stable
EG10825-MONOMER,Clim0,720.0000000000001,recC,More Stable
EG10827-MONOMER,Clim0,251.8,recE,Less Stable
EG10829-MONOMER,Clim0,632.7000000000002,recG,More Stable
EG10837-MONOMER,Clim0,293.20000000000005,rep,Less Stable
EG10838-MONOMER,Clim0,677.2,rfaD,More Stable
EG10839-MONOMER,Clim0,314.3,rfaH,Less Stable
EG10841-MONOMER,Clim0,84.10000000001892,fliD,Less Stable
EG10845-MONOMER,Clim0,355.00000000000006,rho,Less Stable
EG10851-MONOMER,Clim0,301.0,rimJ,Less Stable
EG10852-MONOMER,Clim0,318.0,rimK,Less Stable
EG10853-MONOMER,Clim0,347.30000000000007,rimL,Less Stable
EG10854-MONOMER,Clim0,720.0000000000001,rlpA,More Stable
EG10855-MONOMER,Clim0,720.0000000000001,lptE,More Stable
EG10856-MONOMER,Clim0,720.0000000000001,rna,More Stable
EG10857-MONOMER,Clim0,332.19999999999993,rnc,Less Stable
EG10858-MONOMER,Clim0,314.1000000000001,rnd,Less Stable
EG10859-MONOMER,Clim0,341.2,rne,Less Stable
EG10864-MONOMER,Clim0,354.50000000000006,rplA,Less Stable
EG10865-MONOMER,Clim0,688.6,rplB,More Stable
EG10866-MONOMER,Clim0,353.7,rplC,Less Stable
EG10867-MONOMER,Clim0,703.7,rplD,More Stable
EG10868-MONOMER,Clim0,614.0,rplE,More Stable
EG10869-MONOMER,Clim0,655.9,rplF,More Stable
EG10870-MONOMER,Clim0,318.2,rplI,Less Stable
EG10871-MONOMER,Clim0,720.0000000000001,rplJ,More Stable
EG10872-MONOMER,Clim0,358.20000000000005,rplK,Less Stable
EG10873-MONOMER,Clim0,720.0000000000001,rplL,More Stable
EG10874-MONOMER,Clim0,709.1,rplM,More Stable
EG10875-MONOMER,Clim0,339.6,rplN,Less Stable
EG10876-MONOMER,Clim0,311.9,rplO,Less Stable
EG10877-MONOMER,Clim0,720.0000000000001,rplP,More Stable
EG10878-MONOMER,Clim0,720.0000000000001,rplQ,More Stable
EG10879-MONOMER,Clim0,336.8,rplR,Less Stable
EG10880-MONOMER,Clim0,314.80000000000007,rplS,Less Stable
EG10881-MONOMER,Clim0,327.4,rplT,Less Stable
EG10882-MONOMER,Clim0,638.7,rplV,More Stable
EG10883-MONOMER,Clim0,316.5,rplW,Less Stable
EG10885-MONOMER,Clim0,337.9,rplY,Less Stable
EG10886-MONOMER,Clim0,328.00000000000006,rpmB,Less Stable
EG10888-MONOMER,Clim0,343.6,rpmD,Less Stable
EG10893-MONOMER,Clim0,626.2,rpoA,More Stable
EG10899-MONOMER,Clim0,218.00000000000003,rpoZ,Less Stable
EG10901-MONOMER,Clim0,354.0,rpsB,Less Stable
EG10902-MONOMER,Clim0,707.0,rpsC,More Stable
EG10903-MONOMER,Clim0,620.6,rpsD,More Stable
EG10904-MONOMER,Clim0,330.50000000000006,rpsE,Less Stable
EG10905-MONOMER,Clim0,705.7,rpsF,More Stable
EG10906-MONOMER,Clim0,711.0000000000001,rpsG,More Stable
EG10907-MONOMER,Clim0,649.4,rpsH,More Stable
EG10908-MONOMER,Clim0,720.0000000000001,rpsI,More Stable
EG10909-MONOMER,Clim0,640.7000000000002,rpsJ,More Stable
EG10910-MONOMER,Clim0,720.0000000000001,rpsK,More Stable
EG10911-MONOMER,Clim0,686.0000000000001,rpsL,More Stable
EG10912-MONOMER,Clim0,326.50000000000006,rpsM,Less Stable
EG10913-MONOMER,Clim0,517.5,rpsN,Less Stable
EG10914-MONOMER,Clim0,720.0000000000001,rpsO,More Stable
EG10915-MONOMER,Clim0,529.7,rpsP,Less Stable
EG10916-MONOMER,Clim0,720.0000000000001,rpsQ,More Stable
EG10917-MONOMER,Clim0,584.0,rpsR,Less Stable
EG10918-MONOMER,Clim0,333.1,rpsS,Less Stable
EG10919-MONOMER,Clim0,587.1,rpsT,Less Stable
EG10921-MONOMER,Clim0,347.79999999999995,ftnA,Less Stable
EG10923-MONOMER,Clim0,302.50000000000006,ruvA,Less Stable
EG10924-MONOMER,Clim0,212.0,ruvB,Less Stable
EG10926-MONOMER,Clim0,352.2,sbcB,Less Stable
EG10941-MONOMER,Clim0,705.0000000000001,selA,More Stable
EG10942-MONOMER,Clim0,333.90000000000003,selB,Less Stable
EG10949-MONOMER,Clim0,673.5000000000001,sfsA,More Stable
EG10950-MONOMER,Clim0,719.7000000000002,slt,More Stable
EG10951-MONOMER,Clim0,720.0000000000001,ytjB,More Stable
EG10956-MONOMER,Clim0,680.9999999999999,sohB,More Stable
EG10967-MONOMER,Clim0,341.8999999999999,trmH,Less Stable
EG10968-MONOMER,Clim0,320.9,sppA,Less Stable
EG10973-MONOMER,Clim0,320.3,gutQ,Less Stable
EG10976-MONOMER,Clim0,312.8,ssb,Less Stable
EG10977-MONOMER,Clim0,354.1,sspA,Less Stable
EG10978-MONOMER,Clim0,353.5,sspB,Less Stable
EG10983-MONOMER,Clim0,720.0000000000001,suhB,More Stable
EG10985-MONOMER,Clim0,702.7,surA,More Stable
EG10996-MONOMER,Clim0,656.2,tgt,More Stable
EG10997-MONOMER,Clim0,327.5,mnmE,Less Stable
EG11003-MONOMER,Clim0,344.3,tig,Less Stable
EG11004-MONOMER,Clim0,306.5999999999999,ptrB,Less Stable
EG11007-MONOMER,Clim0,694.7,tolA,More Stable
EG11008-MONOMER,Clim0,679.2,tolB,More Stable
EG11009-MONOMER,Clim0,720.0000000000001,tolC,More Stable
EG11010-MONOMER,Clim0,716.4000000000001,tolQ,More Stable
EG11011-MONOMER,Clim0,341.1,tolR,Less Stable
EG11013-MONOMER,Clim0,357.50000000000006,topA,Less Stable
EG11022-MONOMER,Clim0,720.0000000000001,trmA,More Stable
EG11023-MONOMER,Clim0,352.6000000000001,trmD,Less Stable
EG11033-MONOMER,Clim0,350.29999999999995,tsf,Less Stable
EG11035-MONOMER,Clim0,720.0000000000001,tsx,More Stable
EG11038-MONOMER,Clim0,332.6000000000001,tus,Less Stable
EG11058-MONOMER,Clim0,310.1,ung,Less Stable
EG11059-MONOMER,Clim0,336.8,usg,Less Stable
EG11061-MONOMER,Clim0,720.0000000000001,uvrA,More Stable
EG11063-MONOMER,Clim0,305.8,uvrC,Less Stable
EG11071-MONOMER,Clim0,182.20000000000002,xerD,Less Stable
EG11072-MONOMER,Clim0,683.4000000000001,xseA,More Stable
EG11073-MONOMER,Clim0,351.8,xthA,Less Stable
EG11082-MONOMER,Clim0,337.40000000000003,rihC,Less Stable
EG11083-MONOMER,Clim0,720.0000000000001,rapA,More Stable
EG11084-MONOMER,Clim0,720.0000000000001,mraZ,More Stable
EG11085-MONOMER,Clim0,343.4,rsmH,Less Stable
EG11088-MONOMER,Clim0,569.4000000000001,pdhR,Less Stable
EG11091-MONOMER,Clim0,225.70000000000002,frsA,Less Stable
EG11096-MONOMER,Clim0,688.3,yajC,More Stable
EG11101-MONOMER,Clim0,320.9,aes,Less Stable
EG11110-MONOMER,Clim0,359.1,ybgC,Less Stable
EG11117-MONOMER,Clim0,322.4,yceB,Less Stable
EG11118-MONOMER,Clim0,346.80000000000007,rluC,Less Stable
EG11119-MONOMER,Clim0,269.1,yceD,Less Stable
EG11121-MONOMER,Clim0,343.4,yciA,Less Stable
EG11124-MONOMER,Clim0,720.0000000000001,ompW,More Stable
EG11125-MONOMER,Clim0,313.4,yciE,Less Stable
EG11126-MONOMER,Clim0,302.6,yciF,Less Stable
EG11128-MONOMER,Clim0,246.70000000000002,yciH,Less Stable
EG11132-MONOMER,Clim0,338.5,ppsR,Less Stable
EG11134-MONOMER,Clim0,329.3,ydjA,Less Stable
EG11147-MONOMER,Clim0,587.1,yffB,Less Stable
EG11149-MONOMER,Clim0,328.69999999999993,gcvR,Less Stable
EG11153-MONOMER,Clim0,283.4,rimM,Less Stable
EG11157-MONOMER,Clim0,265.50000000000006,ygeA,Less Stable
EG11160-MONOMER,Clim0,720.0000000000001,mscS,More Stable
EG11164-MONOMER,Clim0,222.9,ygiB,Less Stable
EG11165-MONOMER,Clim0,346.80000000000007,ygiC,Less Stable
EG11171-MONOMER,Clim0,283.3,tsaD,Less Stable
EG11177-MONOMER,Clim0,312.2000000000001,truB,Less Stable
EG11178-MONOMER,Clim0,322.6,rbfA,Less Stable
EG11179-MONOMER,Clim0,348.9,rimP,Less Stable
EG11180-MONOMER,Clim0,720.0000000000001,mscL,More Stable
EG11182-MONOMER,Clim0,649.5,yhfA,More Stable
EG11183-MONOMER,Clim0,330.7,damX,Less Stable
EG11188-MONOMER,Clim0,332.9,htrL,Less Stable
EG11191-MONOMER,Clim0,329.7,slmA,Less Stable
EG11192-MONOMER,Clim0,341.1,yicC,Less Stable
EG11201-MONOMER,Clim0,83.80000000000435,yigA,Less Stable
EG11202-MONOMER,Clim0,345.00000000000006,yigB,Less Stable
EG11212-MONOMER,Clim0,534.6,nsrR,Less Stable
EG11217-MONOMER,Clim0,720.0000000000001,creA,More Stable
EG11238-MONOMER,Clim0,720.0000000000001,ybhB,More Stable
EG11241-MONOMER,Clim0,618.4,ycaC,More Stable
EG11244-MONOMER,Clim0,720.0000000000001,yggE,More Stable
EG11246-MONOMER,Clim0,335.99999999999994,uspE,Less Stable
EG11252-MONOMER,Clim0,350.7,mukE,Less Stable
EG11254-MONOMER,Clim0,297.5,rlmH,Less Stable
EG11256-MONOMER,Clim0,297.9,iraP,Less Stable
EG11259-MONOMER,Clim0,720.0000000000001,rnr,More Stable
EG11261-MONOMER,Clim0,288.0,nfsA,Less Stable
EG11268-MONOMER,Clim0,354.8,fmt,Less Stable
EG11281-MONOMER,Clim0,336.8,mutL,Less Stable
EG11285-MONOMER,Clim0,351.6000000000001,glrR,Less Stable
EG11288-MONOMER,Clim0,347.9,mak,Less Stable
EG11291-MONOMER,Clim0,306.5999999999999,loiP,Less Stable
EG11292-MONOMER,Clim0,686.6000000000001,yghA,More Stable
EG11293-MONOMER,Clim0,707.7,lolB,More Stable
EG11294-MONOMER,Clim0,628.6999999999999,ispE,More Stable
EG11295-MONOMER,Clim0,720.0000000000001,wzzE,More Stable
EG11298-MONOMER,Clim0,337.7,yhdE,Less Stable
EG11309-MONOMER,Clim0,331.6000000000001,pdxI,Less Stable
EG11311-MONOMER,Clim0,220.40000000000003,dusB,Less Stable
EG11320-MONOMER,Clim0,276.1,nrdR,Less Stable
EG11323-MONOMER,Clim0,311.1000000000001,ygfB,Less Stable
EG11333-MONOMER,Clim0,331.19999999999993,ubiI,Less Stable
EG11338-MONOMER,Clim0,236.39999999999995,msyB,Less Stable
EG11344-MONOMER,Clim0,625.2,mnmA,More Stable
EG11345-MONOMER,Clim0,720.0000000000001,hflD,More Stable
EG11354-MONOMER,Clim0,720.0000000000001,emrA,More Stable
EG11355-MONOMER,Clim0,107.00000000000853,fliA,Less Stable
EG11361-MONOMER,Clim0,681.1,asmA,More Stable
EG11376-MONOMER,Clim0,671.1000000000001,ftsP,More Stable
EG11383-MONOMER,Clim0,648.3,elbB,More Stable
EG11390-MONOMER,Clim0,309.8,uspA,Less Stable
EG11391-MONOMER,Clim0,323.4,osmY,Less Stable
EG11394-MONOMER,Clim0,358.20000000000005,fabR,Less Stable
EG11396-MONOMER,Clim0,675.8,ubiD,More Stable
EG11412-MONOMER,Clim0,497.8,holA,Less Stable
EG11413-MONOMER,Clim0,647.7,holC,More Stable
