Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Regulated-By	GO terms (biological process)	Transcription Units	gene ID	Pathways of gene	TU ID
accB	b3255	3405436	3405906	biotin carboxyl carrier protein		malonyl-CoA biosynthetic process // fatty acid metabolic process // lipid metabolic process // fatty acid biosynthetic process	accBC // accBC	EG10275		accBC // accBC
ryfB	b4607	2700059	2700377					G0-10597		
hisP	b2306	2423736	2424509	lysine/arginine/ornithine ABC transporter / histidine ABC transporter, ATP binding subunit		amino acid import across plasma membrane // amino acid transport // amino acid transmembrane transport // L-arginine import across plasma membrane // L-lysine import across plasma membrane // L-ornithine import across plasma membrane // L-histidine transmembrane transport // L-histidine import across plasma membrane	hisJQMP // argT-hisJQMP	EG10452		hisJQMP // argT-hisJQMP
allE	b0515	543261	544046	(S)-ureidoglycine aminohydrolase		purine nucleobase metabolic process	allDC-ylbA	G6284	allantoin degradation to glyoxylate III // allantoin degradation IV (anaerobic) // allantoin degradation to ureidoglycolate II (ammonia producing)	allDC-ylbA
b2651	b2651	2785221	2785352					G7386		
allC	b0516	544057	545292	allantoate amidohydrolase		organonitrogen compound metabolic process // allantoin catabolic process // purine nucleobase metabolic process // allantoin assimilation pathway	allDC-ylbA	G6285	allantoin degradation to glyoxylate III // allantoin degradation IV (anaerobic) // allantoin degradation to ureidoglycolate II (ammonia producing)	allDC-ylbA
ykiB	b0370	389897	390115					G6221		
yiiQ	b3920	4111615	4112214	DUF1454 domain-containing protein YiiQ			yiiQ	EG11874		yiiQ
allA	b0505	532451	532933	ureidoglycolate lyase		purine nucleobase catabolic process // allantoin catabolic process // purine nucleobase metabolic process	allA	G6275	allantoin degradation to glyoxylate III	allA
C0362		1552001	1552386					G0-8902		
allD	b0517	545314	546363	ureidoglycolate dehydrogenase		allantoin catabolic process // purine nucleobase metabolic process // allantoin assimilation pathway	allDC-ylbA	G6286	allantoin degradation IV (anaerobic)	allDC-ylbA
istR-1		3853118	3853192					G0-10202		
allB	b0512	539147	540508	allantoinase		purine nucleobase catabolic process // allantoin catabolic process // purine nucleobase metabolic process // allantoin assimilation pathway	allB // allB // allB // gcl-hyi-glxR-ybbVW-allB-ybbY-glxK	G6281	allantoin degradation to glyoxylate III // allantoin degradation IV (anaerobic) // allantoin degradation to ureidoglycolate II (ammonia producing)	allB // allB // allB // gcl-hyi-glxR-ybbVW-allB-ybbY-glxK
b2084	b2084	2167735	2168001					G7121		
b0105	b0105	114407	114514					G6090		
yihY	b3886	4076146	4077018	PF03631 family membrane protein YihY			yihXY-dtd-fabY	EG11851		yihXY-dtd-fabY
tp2		122697	122857					G0-8894		
opgC	b1047	1107784	1108941	osmoregulated periplasmic glucans (OPG) biosynthesis protein C		osmoregulated periplasmic glucan biosynthetic process // glucan biosynthetic process	mdoC	G6552		mdoC
ygiA	b3036	3179596	3179856				tolC-ygiBC // tolC-ygiBC	EG11163		tolC-ygiBC // tolC-ygiBC
opgG	b1048	1109335	1110870	osmoregulated periplasmic glucans biosynthesis protein G		glucan biosynthetic process // carbohydrate biosynthetic process // carbohydrate metabolic process // beta-glucan biosynthetic process	mdoGH // mdoGH // mdoGH	EG11885		mdoGH // mdoGH // mdoGH
b1425	b1425	1498432	1498635					G6740		
sibA	b4436	2153311	2153454	small RNA SibA	Regulation of sibA by DNA-binding transcriptional dual regulator Nac		sibA	G0-8884		sibA
ackB								G14		
yicH	b3655	3830457	3832166	AsmA family protein YicH	Regulation of yicH by DNA-binding transcriptional dual regulator Lrp		yicH	EG11684		yicH
rdlD	b4454	3700136	3700199	antisense regulatory RNA RdlD		negative regulation of cytoplasmic translation	rdlD	G0-9042		rdlD
b4700	b4700	607734	607792					G0-16677		
fnrS	b4699	1409129	1409250	small regulatory RNA FnrS		sRNA-mediated post-transcriptional gene silencing	fnrS	G0-10677		fnrS
b4250	b4250	4474227	4474391					G7881		
micC	b4427	1437121	1437231	small regulatory RNA MicC	Regulation of micC by DNA-binding transcriptional dual regulator Nac	negative regulation of bacterial-type flagellum-dependent cell motility // sRNA-mediated post-transcriptional gene silencing // negative regulation of translational initiation	micC	G0-8901		micC
b1354	b1354	1419168	1419344					G6678		
sibE	b4611	3195097	3195240	small RNA SibE	Regulation of sibE by DNA-binding transcriptional dual regulator Nac	regulatory ncRNA-mediated post-transcriptional gene silencing	sibE	G0-10602		sibE
sroD		1888017	1888102				fadD-sroD	G0-9384		fadD-sroD
yjfK	b4183	4411302	4411961	DUF2491 domain-containing protein YjfK			yjfKLMC	G7848		yjfKLMC
sibB	b4437	2153646	2153781	small RNA SibB		regulatory ncRNA-mediated post-transcriptional gene silencing	sibB	G0-8885		sibB
G0-10703		3367613	3367770					G0-10703		
dicF	b1574	1649382	1649434	Qin prophage; small regulatory RNA DicF		negative regulation of cell division // negative regulation of bacterial-type flagellum-dependent cell motility // negative regulation of single-species biofilm formation	dicF	EG31115		dicF
b3254	b3254	3404516	3404617					G7692		
cyaR	b4438	2167114	2167200	small regulatory RNA CyaR		regulatory ncRNA-mediated post-transcriptional gene silencing	cyaR // cyaR // cyaR	G0-8878		cyaR // cyaR // cyaR
yliL	b0816	852671	852940					G6419		
omrA	b4444	2976102	2976189	small regulatory RNA OmrA		negative regulation of single-species biofilm formation // negative regulation of bacterial-type flagellum-dependent cell motility // sRNA-mediated post-transcriptional gene silencing	omrA	G0-8868		omrA
IS128		2653515	2653723					G0-8908		
rmuC	b3832	4017333	4018760	putative recombination limiting protein RmuC		DNA recombination	rmuC	EG11472		rmuC
dsrA	b1954	2025223	2025313	small regulatory RNA DsrA		negative regulation of single-species biofilm formation // negative regulation of bacterial-type flagellum-dependent cell motility	dsrA	G7047		dsrA
G0-10698		1670949	1671136					G0-10698		
sibD	b4447	3194721	3194865	small RNA SibD		regulatory ncRNA-mediated post-transcriptional gene silencing	sibD	G0-8913		sibD
b2653	b2653	2785800	2785973					G7388		
symR	b4625	4579835	4579911	small regulatory RNA antitoxin SymR		sRNA-mediated post-transcriptional gene silencing	symR	G0-10610		symR
b0538	b0538	565972	566532					G6294		
sibC	b4446	3056851	3056991	small regulatory RNA antitoxin SibC		regulatory ncRNA-mediated post-transcriptional gene silencing	sibC	G0-8886		sibC
C0465		1972739	1972816					G0-8903		
php	b3379	3507712	3508590	putative hydrolase		catabolic process	yhfXW-php-yhfUTS	G7731		yhfXW-php-yhfUTS
omrB	b4445	2976304	2976385	small regulatory RNA OmrB		sRNA-mediated post-transcriptional gene silencing	omrB	G0-8882		omrB
ybfK	b4590	720583	720840					G0-10586		
ryhB	b4451	3580922	3581016	small regulatory RNA RyhB		negative regulation of bacterial-type flagellum-dependent cell motility // positive regulation of translation, ncRNA-mediated // sRNA-mediated post-transcriptional gene silencing	ryhB	G0-8872		ryhB
b2191	b2191	2288905	2289027					G7149		
micA	b4442	2814802	2814874	small regulatory RNA MicA		regulation of bacterial-type flagellum-dependent cell motility // response to stress // sRNA-mediated post-transcriptional gene silencing	micA	G0-8866		micA
b0165	b0165	184987	185118					G6091		
gadY	b4452	3664864	3664969	small regulatory RNA GadY	Regulation of gadY by DNA-binding transcriptional dual regulator Lrp	cellular response to acidic pH // negative regulation of bacterial-type flagellum-dependent cell motility // regulation of gene expression	gadY	G0-8914		gadY
C0067		238462	238586					G0-8896		
ychA	b1214	1267320	1268129	transglutaminase-like/TPR repeat-containing protein	Regulation of ychA by DNA-binding transcriptional dual regulator Nac		ychQA-kdsA	EG11251		ychQA-kdsA
mgrR	b4698	1622817	1622914	small regulatory RNA MgrR		sRNA-mediated post-transcriptional gene silencing	mgrR	G0-10671		mgrR
yzfA	b4223	4447976	4448245				yzfA	EG11213		yzfA
ohsC	b4608	2700520	2700598	small regulatory RNA OhsC		regulatory ncRNA-mediated post-transcriptional gene silencing	ohsC	G0-10598		ohsC
b1437	b1437	1509250	1509447					G6748		
higB	b3083	3234141	3234455	ribosome-dependent mRNA interferase toxin HigB		regulation of DNA-templated transcription // regulation of growth // nucleic acid phosphodiester bond hydrolysis // negative regulation of translation // regulation of mRNA stability	higBA	G7602		higBA
b0017	b0017	15869	16177					G6084		
mcaS	b4426	1405658	1405751	small regulatory RNA McaS	Regulation of mcaS by ArgR-L-arginine DNA-binding transcriptional dual regulator	regulatory ncRNA-mediated post-transcriptional gene silencing // regulation of bacterial-type flagellum-dependent cell motility // negative regulation of single-species biofilm formation // negative regulation of binding // positive regulation of translational initiation // negative regulation of translational initiation	mcaS	G0-8899		mcaS
sraF	b4448	3238374	3238561					G0-8869		
yqjF	b3101	3250562	3250954	DoxX family protein			yqjF	G7615		yqjF
hfq	b4172	4400288	4400596	RNA-binding protein Hfq	Regulation of hfq by DNA-binding transcriptional dual regulator Nac	ribosome biogenesis // tRNA processing // RNA folding // regulation of translation, ncRNA-mediated // regulation of RNA stability // regulation of DNA-templated transcription // sRNA-mediated post-transcriptional gene silencing // positive regulation of translation, ncRNA-mediated	tsaE-amiB-mutL-miaA-hfq-hflXKC // hfq-hflXKC // hfq-hflXKC // miaA-hfq-hflXKC // miaA-hfq-hflXKC // mutL-miaA-hfq-hflXKC // mutL-miaA-hfq-hflXKC // hfq-hflXKC // yjeFE-amiB-mutL-miaA-hfq-hflXKC // yjeFE-amiB-mutL-miaA-hfq-hflXKC // yjeFE-amiB-mutL-miaA-hfq-hflXKC	EG10438		tsaE-amiB-mutL-miaA-hfq-hflXKC // hfq-hflXKC // hfq-hflXKC // miaA-hfq-hflXKC // miaA-hfq-hflXKC // mutL-miaA-hfq-hflXKC // mutL-miaA-hfq-hflXKC // hfq-hflXKC // yjeFE-amiB-mutL-miaA-hfq-hflXKC // yjeFE-amiB-mutL-miaA-hfq-hflXKC // yjeFE-amiB-mutL-miaA-hfq-hflXKC
yjgW	b4274	4499599	4499934					G7896		
oxyS	b4458	4158278	4158394	small regulatory RNA OxyS		negative regulation of bacterial-type flagellum-dependent cell motility // sRNA-mediated post-transcriptional gene silencing // response to oxidative stress	oxyS	EG31116		oxyS
b1364	b1364	1425178	1425459					G6687		
relE	b1563	1645346	1645633	Qin prophage; mRNA interferase toxin RelE		regulation of DNA-templated transcription // single-species biofilm formation // regulation of growth // negative regulation of DNA-templated transcription // response to antibiotic // cellular response to amino acid starvation // negative regulation of translation // mRNA catabolic process	relBE-hokD // relBE	EG11131		relBE-hokD // relBE
sroG		3184570	3184718				sroG-ribB	G0-9387		sroG-ribB
rplJ	b3985	4179996	4180493	50S ribosomal subunit protein L10		cytoplasmic translation // negative regulation of translation // translation // regulation of translation	rplKAJL-rpoBC // rplJL-rpoBC	EG10871		rplKAJL-rpoBC // rplJL-rpoBC
G0-10704		4001191	4001334					G0-10704		
modE	b0761	793856	794644	DNA-binding transcriptional dual regulator ModE		positive regulation of DNA-templated transcription // negative regulation of DNA-templated transcription // molybdate ion transport // regulation of DNA-templated transcription // negative regulation of DNA-templated transcription initiation	modEF	G6395		modEF
yfcA	b2327	2444751	2445560	putative transporter YfcA		response to heat	prmB-aroC-mepA-yfcA-epmC-yfcL	EG11144		prmB-aroC-mepA-yfcA-epmC-yfcL
yafO	b0233	252301	252699	ribosome-dependent mRNA interferase toxin YafO	Regulation of yafO by DNA-binding transcriptional dual regulator Nac	regulation of DNA-templated transcription // regulation of growth // SOS response // DNA damage response // DNA repair // negative regulation of translation	dinB-yafNOP // dinB-yafNOP // yafNOP	G6117		dinB-yafNOP // dinB-yafNOP // yafNOP
b3975	b3975	4175213	4175368					G7818		
fdhD	b3895	4086016	4086849	sulfurtransferase for molybdenum cofactor sulfuration		Mo-molybdopterin cofactor biosynthetic process	fdhD	EG11859	<i>bis</i>(guanylyl molybdopterin) cofactor sulfurylation	fdhD
rprA	b4431	1770372	1770477	small regulatory RNA RprA		negative regulation of bacterial-type flagellum-dependent cell motility // stress response to acid chemical // sRNA-mediated post-transcriptional gene silencing // positive regulation of translation, ncRNA-mediated	rprA	G0-8863		rprA
ycdF	b1005	1067918	1068148					G6516		
moaE	b0785	819295	819747	molybdopterin synthase catalytic subunit		Mo-molybdopterin cofactor biosynthetic process	moaBCDE // moaABCDE // moaABCDE	EG11598	molybdopterin biosynthesis	moaBCDE // moaABCDE // moaABCDE
dksA	b0145	160149	160604	RNA polymerase-binding transcription factor DksA		regulation of gene expression // double-strand break repair	dksA-gluQ // sfsA-dksA // dksA-yadB // dksA-yadB	EG10230		dksA-gluQ // sfsA-dksA // dksA-yadB // dksA-yadB
C0664		2835055	2835167					G0-8911		
moaA	b0781	817044	818033	GTP 3',8'-cyclase		response to heat // Mo-molybdopterin cofactor biosynthetic process	moaABCDE // moaABCDE	EG11595	molybdopterin biosynthesis	moaABCDE // moaABCDE
micF	b4439	2313084	2313176	small regulatory RNA MicF	Regulation of micF by DNA-binding transcriptional dual regulator ArcA-phosphorylated // Regulation of micF by DNA-binding transcriptional dual regulator ArcA-phosphorylated	sRNA-mediated post-transcriptional gene silencing // response to oxidative stress // cellular response to heat // cellular hyperosmotic response // response to xenobiotic stimulus	micF // micF	EG30063		micF // micF
G0-10700		2278258	2278498					G0-10700		
moeA	b0827	865129	866364	molybdopterin molybdotransferase	Regulation of moeA by DNA-binding transcriptional dual regulator Nac	molybdopterin cofactor biosynthetic process // molybdenum incorporation into molybdenum-molybdopterin complex // Mo-molybdopterin cofactor biosynthetic process	moeAB	EG10153	molybdenum cofactor biosynthesis	moeAB
ssnA	b2879	3019161	3020489	putative aminohydrolase SsnA		negative regulation of cell growth	ssnA // ygfK-ssnA	G7498		ssnA // ygfK-ssnA
mazF	b2782	2910756	2911091	endoribonuclease toxin MazF		regulation of DNA-templated transcription // single-species biofilm formation // regulation of growth // positive regulation of programmed cell death // defense response to virus // regulation of translation // rRNA catabolic process // mRNA catabolic process // quorum sensing // negative regulation of cell growth	mazEF // relA-mazEF // mazEFG // mazEFG // relA-mazEF	EG11249		mazEF // relA-mazEF // mazEFG // mazEFG // relA-mazEF
b3004	b3004	3150722	3150967					G7561		
mocA	b2877	3015160	3015738	molybdenum cofactor cytidylyltransferase		Mo(VI)-molybdopterin cytosine dinucleotide biosynthetic process // Mo-molybdopterin cofactor biosynthetic process	mocA	G7496	cytidylyl molybdenum cofactor biosynthesis	mocA
thrS	b1719	1800642	1802570	threonine&mdash;tRNA ligase	Regulation of thrS by DNA-binding transcriptional dual regulator Nac // Regulation of thrS by threonine--tRNA ligase	aminoacyl-tRNA metabolism involved in translational fidelity // response to antibiotic // tRNA aminoacylation // tRNA aminoacylation for protein translation // translation // regulation of translation // threonyl-tRNA aminoacylation // negative regulation of translational initiation	thrS-infC-rpmI-rplT-pheMST-ihfA // thrS-infC	EG11001	superpathway of chorismate metabolism // enterobactin biosynthesis // tRNA charging	thrS-infC-rpmI-rplT-pheMST-ihfA // thrS-infC
b0609	b0609	643407	643868					G6336		
tusA	b3470	3608751	3608996	sulfur transfer protein TusA		L-cysteine catabolic process // tRNA processing // Mo-molybdopterin cofactor biosynthetic process // tRNA wobble position uridine thiolation	tusA	EG12216	tRNA-uridine 2-thiolation and selenation (bacteria)	tusA
mqsR	b3022	3168248	3168544	mRNA interferase toxin MqsR		regulation of DNA-templated transcription // mRNA destabilization // regulation of cell motility // negative regulation of DNA-templated transcription // quorum sensing // negative regulation of translation // regulation of mRNA stability // single-species biofilm formation	mqsRA // mqsRA	G7572		mqsRA // mqsRA
tpke70		2496194	2496629				tpke70	G0-8906		tpke70
moaC	b0783	818570	819055	cyclic pyranopterin monophosphate synthase		Mo-molybdopterin cofactor biosynthetic process	moaBCDE // moaABCDE // moaABCDE	EG11666	molybdopterin biosynthesis	moaBCDE // moaABCDE // moaABCDE
glmZ	b4456	3986432	3986603	small regulatory RNA GlmZ		positive regulation of translation, ncRNA-mediated // positive regulation of translational initiation	glmZ	G0-8873		glmZ
ybhU	b4591	813114	813251					G0-10587		
moaB	b0782	818055	818567	protein MoaB		Mo-molybdopterin cofactor biosynthetic process // protein hexamerization	moaBCDE // moaABCDE // moaABCDE	EG11596		moaBCDE // moaABCDE // moaABCDE
rlpA	b0633	664102	665190	rare lipoprotein RlpA		peptidoglycan metabolic process // cell wall organization // FtsZ-dependent cytokinesis	rsfS-rlmH-mrdAB-rlpA	EG10854		rsfS-rlmH-mrdAB-rlpA
frr	b0172	192872	193429	ribosome-recycling factor		translational termination // translation // cytoplasmic translational termination	frr	EG10335		frr
b2596	b2596	2736913	2737119					G7353		
moeB	b0826	864380	865129	molybdopterin-synthase adenylyltransferase		Mo-molybdopterin cofactor biosynthetic process	moeAB	EG10154	molybdopterin biosynthesis	moeAB
spf	b3864	4049899	4050009	small regulatory RNA Spot 42	Regulation of spf by DNA-binding transcriptional dual regulator Nac	regulatory ncRNA-mediated post-transcriptional gene silencing // regulation of translation, ncRNA-mediated	spf	EG30098		spf
b0309	b0309	324408	324620					G6179		
modA	b0763	795089	795862	molybdate ABC transporter periplasmic binding protein	Regulation of modA by DNA-binding transcriptional dual regulator Lrp	monoatomic anion transmembrane transport // tungstate ion transport // response to chromate // molybdate ion transport	modABC // modABC	EG12427	molybdenum cofactor biosynthesis	modABC // modABC
rsfS	b0637	668719	669036	ribosomal silencing factor RsfS		cytosolic ribosome assembly // regulation of translation // negative regulation of translation // negative regulation of ribosome biogenesis	rsfS-rlmH-mrdAB-rlpA	EG11255		rsfS-rlmH-mrdAB-rlpA
C0299		1230629	1230707					G0-8898		
mobA	b3857	4041415	4041999	molybdenum cofactor guanylyltransferase	Regulation of mobA by DNA-binding transcriptional dual regulator Nac	Mo-molybdopterin cofactor metabolic process // Mo-molybdopterin cofactor biosynthetic process // bis(molybdopterin guanine dinucleotide)molybdenum biosynthetic process	mobAB // mobAB	EG11829	guanylyl molybdenum cofactor biosynthesis // bis(guanylyl molybdenum cofactor) biosynthesis	mobAB // mobAB
secM	b0097	107705	108217	SecA translation regulator		regulation of translation	secMA-mutT	EG11087		secMA-mutT
fruL	b0079	87860	87946					EG11273		
moaD	b0784	819048	819293	MoaD-S // molybdopterin synthase sulfur carrier subunit		Mo-molybdopterin cofactor biosynthetic process	moaBCDE // moaABCDE // moaABCDE	EG11597	molybdopterin biosynthesis	moaBCDE // moaABCDE // moaABCDE
glmY	b4441	2691157	2691340	small regulatory RNA GlmY		negative regulation of bacterial-type flagellum-dependent cell motility // cellular response to cell envelope stress // negative regulation of biological process	glmY // glmY	G0-8910		glmY // glmY
yqaE	b2666	2796870	2797028	Pmp3 family protein YqaE		response to antibiotic	yqaE-kbp // yqaE	G7396		yqaE-kbp // yqaE
b1903	b1903	1987444	1987782					G7034		
mog	b0009	9306	9893	molybdopterin adenylyltransferase		Mo-molybdopterin cofactor biosynthetic process // molybdopterin cofactor biosynthetic process	mog	EG11511	molybdenum cofactor biosynthesis	mog
viaA	b3745	3928152	3929603	protein ViaA			ravA-viaA	EG11730		ravA-viaA
b0100	b0100	111564	111698					G6089		
modC	b0765	796554	797612	molybdate ABC transporter ATP binding subunit		monoatomic anion transmembrane transport // tungstate ion transport // transmembrane transport // molybdate ion transport	modABC // modABC	EG10152	molybdenum cofactor biosynthesis	modABC // modABC
iraD	b4326	4556993	4557385	anti-adaptor protein IraD	Regulation of iraD by DNA-binding transcriptional dual regulator Lrp	cellular response to oxidative stress // positive regulation of DNA-templated transcription // DNA damage response // negative regulation of protein catabolic process	iraD // iraD	G7923		iraD // iraD
tpke11		14080	14167				dnaKJ // dnaKJ // dnaKJ // tpke11	G0-8893		dnaKJ // dnaKJ // dnaKJ // tpke11
tonB	b1252	1311089	1311808	Ton complex subunit TonB		intracellular iron ion homeostasis // intracellular monoatomic cation homeostasis // transmembrane transport // bacteriocin transport // protein transport // receptor-mediated bacteriophage irreversible attachment to host cell // siderophore transport // colicin transport // cobalamin transport	tonB	EG11012		tonB
yicC	b3644	3816676	3817539	putative RNase adaptor protein YicC		ncRNA catabolic process	yicC	EG11192		yicC
b0701	b0701	733370	733591					G8203		
exbB	b3006	3151250	3151984	Ton complex subunit ExbB	Regulation of exbB by DNA-binding transcriptional dual regulator CpxR-phosphorylated // Regulation of exbB by DNA-binding transcriptional dual regulator Lrp	intracellular iron ion homeostasis // intracellular monoatomic cation homeostasis // protein import // transmembrane transport // bacteriocin transport // protein transport // cobalamin transport // ferrichrome import into cell // protein stabilization	exbBD	EG10271		exbBD
mtfA	b1976	2043651	2044448	Mlc titration factor			mtfA	G7063		mtfA
smrB	b2331	2448606	2449157	ribosome rescue factor SmrB		rescue of stalled ribosome	smrB	G7202		smrB
b1367	b1367	1426055	1426288					G6690		
exbD	b3005	3150818	3151243	Ton complex subunit ExbD		intracellular iron ion homeostasis // intracellular monoatomic cation homeostasis // cobalamin transport // transmembrane transport // bacteriocin transport // protein transport // protein stabilization	exbD // exbBD	EG10272		exbD // exbBD
cpxQ	b4716	4106330	4106387	small regulatory RNA CpxQ		regulatory ncRNA-mediated post-transcriptional gene silencing // negative regulation of translation // cellular response to cell envelope stress	cpxPQ	G0-16649		cpxPQ
tisA	b4617	3853443	3853556					G0-9961		
tatA	b3836	4021945	4022214	twin arginine protein translocation system - TatA protein		organic substance transport // establishment of protein localization // protein transport // intracellular protein transmembrane transport // protein transport by the Tat complex	tatABC // tatABC	G7806		tatABC // tatABC
rpsH	b3306	3446153	3446545	30S ribosomal subunit protein S8	Regulation of rpsH by DNA-binding transcriptional dual regulator Lrp	cytoplasmic translation // ribosomal small subunit assembly // regulation of translation // translation // regulation of mRNA stability	rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ	EG10907		rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ
G0-10705		4058171	4058242					G0-10705		
acrB	b0462	481254	484403	multidrug efflux pump RND permease AcrB		xenobiotic detoxification by transmembrane export across the cell outer membrane // transmembrane transport // xenobiotic transport // response to antibiotic // alkane transport // fatty acid transport // enterobactin transport // response to toxic substance // bile acid and bile salt transport // response to xenobiotic stimulus	acrB // acrAB	EG11704		acrB // acrAB
rsxG	b1631	1710204	1710824	SoxR [2Fe-2S] reducing system protein RsxG		electron transport chain	rsxABCDGE-nth // ydgK-rsxABCDGE-nth	G6875		rsxABCDGE-nth // ydgK-rsxABCDGE-nth
acrD	b2470	2587595	2590708	multidrug efflux pump RND permease AcrD		xenobiotic detoxification by transmembrane export across the cell outer membrane // transmembrane transport // xenobiotic transport // response to antibiotic // response to toxic substance // bile acid and bile salt transport	acrD // acrD	EG10014		acrD // acrD
uof	b4637	710639	710725	RyhB-regulated <i>fur</i> leader peptide		regulation of translation	fldA-uof-fur // uof-fur	G0-10580		fldA-uof-fur // uof-fur
cutC	b1874	1958520	1959266	PF03932 family protein CutC			yecM-cutC	G7024		yecM-cutC
tatB	b3838	4022218	4022733	twin arginine protein translocation system - TatB protein		protein transport // protein transport by the Tat complex // intracellular protein transmembrane transport	tatABC // tatABC	G7808		tatABC // tatABC
csrD	b3252	3401392	3403332	regulator of CsrB and CsrC decay		regulation of RNA metabolic process // ncRNA catabolic process	csrD	EG10018		csrD
setA	b0070	77621	78799	sugar exporter SetA		glucose transmembrane transport // proton transmembrane transport // carbohydrate transport // transmembrane transport // lactose transport // carbohydrate transmembrane transport // cellular response to glucose-phosphate stress	sgrST-setA // sgrST-setA	EG11754		sgrST-setA // sgrST-setA
rsxB	b1628	1706348	1706926	SoxR [2Fe-2S] reducing system protein RsxB		electron transport chain	rsxABCDGE-nth // ydgK-rsxABCDGE-nth	G6872		rsxABCDGE-nth // ydgK-rsxABCDGE-nth
tatE	b0627	658947	659150	twin arginine protein translocation system - TatE protein		organic substance transport // establishment of protein localization // protein transport // intracellular protein transmembrane transport // protein transport by the Tat complex	tatE	EG11305		tatE
proQ	b1831	1914836	1915534	RNA chaperone ProQ		positive regulation of proline import across plasma membrane // cellular hyperosmotic salinity response // osmosensory signaling pathway // single-species biofilm formation // DNA damage response // post-transcriptional regulation of gene expression // positive regulation of transport	proQ-prc	EG12866		proQ-prc
mdtF	b3514	3660414	3663527	multidrug efflux pump RND permease MdtF	Regulation of mdtF by DNA-binding transcriptional dual regulator YeiE // Regulation of mdtF by DNA-binding transcriptional dual regulator TorR-phosphorylated	xenobiotic transmembrane transport // transmembrane transport // xenobiotic transport // response to toxic substance // bile acid and bile salt transport // response to antibiotic	gadE-mdtEF // mdtEF // mdtEF // gadEF-mdtEF // mdtEF	EG12241		gadE-mdtEF // mdtEF // mdtEF // gadEF-mdtEF // mdtEF
yeaC	b1777	1861702	1861974	DUF1315 domain-containing protein YeaC			yeaC	G6964		yeaC
iraM	b1160	1211680	1212003	anti-adaptor protein IraM		cellular response to starvation // positive regulation of DNA-templated transcription // cellular response to acidic pH // negative regulation of protein catabolic process // cellular response to magnesium starvation	iraM // iraM	G6600		iraM // iraM
tatC	b3839	4022736	4023512	twin arginine protein translocation system - TatC protein		protein transport // response to radiation // protein transport by the Tat complex // intracellular protein transmembrane transport	tatABC // tatABC	EG11479		tatABC // tatABC
rraA	b3929	4118845	4119330	ribonuclease E inhibitor protein A		regulation of RNA metabolic process // negative regulation of RNA catabolic process // protein homotrimerization	menA-rraA // rraA // menA-rraA	EG11879		menA-rraA // rraA // menA-rraA
csrB	b4408	2924156	2924524	small regulatory RNA CsrB		negative regulation of mRNA binding // positive regulation of single-species biofilm formation // negative regulation of bacterial-type flagellum-dependent cell motility	csrB	G0-8785		csrB
iraP	b0382	401386	401646	anti-adaptor protein IraP	Regulation of iraP by DNA-binding transcriptional dual regulator H-NS // Regulation of iraP by DNA-binding transcriptional dual regulator YdcI // Regulation of iraP by DNA-binding transcriptional dual regulator Lrp // Regulation of iraP by DNA-binding transcriptional dual regulator Nac	cellular response to starvation // positive regulation of DNA-templated transcription // negative regulation of protein catabolic process // cellular response to phosphate starvation	iraP // iraP	EG11256		iraP // iraP
mzrA	b3096	3248439	3248822	modulator protein MzrA			yqjA-mzrA // yqjA-mzrA	G7610		yqjA-mzrA // yqjA-mzrA
yneK	b1527	1615763	1616878	protein YneK	Regulation of yneK by DNA-binding transcriptional dual regulator Nac		yneK	G6813		yneK
rirA	b4760	3808166	3808238	small regulatory RNA RirA		regulation of DNA-templated transcription initiation	rirA-rfaQGPSBIJYZ-waaU	G0-16662		rirA-rfaQGPSBIJYZ-waaU
suhB	b2533	2663442	2664245	Nus factor SuhB		ribosome biogenesis // inositol metabolic process // signal transduction // phosphatidylinositol phosphate biosynthetic process // transcription antitermination	suhB	EG10983		suhB
rsxE	b1632	1710828	1711523	SoxR [2Fe-2S] reducing system protein RsxE		electron transport chain	rsxABCDGE-nth // ydgK-rsxABCDGE-nth	G6876		rsxABCDGE-nth // ydgK-rsxABCDGE-nth
rydC	b4597	1491442	1491506	small regulatory RNA RydC		cellular stress response to acidic pH // regulation of translation, ncRNA-mediated // negative regulation of bacterial-type flagellum-dependent cell motility // regulatory ncRNA-mediated post-transcriptional gene silencing	rydC	G0-10592		rydC
ycjS	b1315	1376832	1377887	D-glucoside 3-dehydrogenase		carbohydrate metabolic process	ycjMNOPQRSTUV-ymjB-ompG	G6653	D-gulosides conversion to D-glucosides	ycjMNOPQRSTUV-ymjB-ompG
rplA	b3984	4178879	4179583	50S ribosomal subunit protein L1		cytoplasmic translation // ribosomal large subunit assembly // regulation of translation // translation // negative regulation of translational initiation	rplKAJL-rpoBC	EG10864		rplKAJL-rpoBC
rsxC	b1629	1706919	1709141	SoxR [2Fe-2S] reducing system protein RsxC		electron transport chain	rsxABCDGE-nth // ydgK-rsxABCDGE-nth	G6873		rsxABCDGE-nth // ydgK-rsxABCDGE-nth
ssrA	b2621	2755593	2755955	tmRNA	Regulation of ssrA by DNA-binding transcriptional activator ZraR-phosphorylated	rescue of stalled ribosome // trans-translation-dependent protein tagging // trans-translation	ssrA	EG30100		ssrA
