Uniprot Accession,Description,Gene,proteinMW,Peptides.used.for.quantitation,Confidence.score,medianRatio_MG1655.LB_vs_BW25113.Glucose,medianRatio_NCM3722.LB_vs_BW25113.Glucose,medianRatio_MG1655.Glucose_vs_BW25113.Glucose,medianRatio_NCM3722.Glucose_vs_BW25113.Glucose,medianRatio_BW25113.LB_vs_BW25113.Glucose,qvalue_MG1655.LB_vs_BW25113.Glucose,qvalue_NCM3722.LB_vs_BW25113.Glucose,qvalue_MG1655.Glucose_vs_BW25113.Glucose,qvalue_NCM3722.Glucose_vs_BW25113.Glucose,qvalue_BW25113.LB_vs_BW25113.Glucose,Copies/Cell_MG1655.LB,Copies/Cell_MG1655.Glucose,Copies/Cell_NCM3722.LB,Copies/Cell_NCM3722.Glucose,Copies/Cell_BW25113.LB,Copies/Cell_BW25113.Glucose,cv_MG1655.LB,cv_NCM3722.LB,cv_MG1655.Glucose,cv_NCM3722.Glucose,cv_BW25113.LB,cv_BW25113.Glucose,rawInt_A14.07016.1,rawInt_A14.07017.1,rawInt_A14.07018.1,rawInt_A14.07020.1,rawInt_A14.07021.1,rawInt_A14.07022.1,rawInt_A14.07024.1,rawInt_A14.07025.1,rawInt_A14.07026.1,rawInt_A14.07028.1,rawInt_A14.07029.1,rawInt_A14.07030.1,rawInt_A14.07032.1,rawInt_A14.07033.1,rawInt_A14.07034.1,rawInt_A14.07036.1,rawInt_A14.07037.1,rawInt_A14.07038.1,normInt_A14.07016.1,normInt_A14.07017.1,normInt_A14.07018.1,normInt_A14.07020.1,normInt_A14.07021.1,normInt_A14.07022.1,normInt_A14.07024.1,normInt_A14.07025.1,normInt_A14.07026.1,normInt_A14.07028.1,normInt_A14.07029.1,normInt_A14.07030.1,normInt_A14.07032.1,normInt_A14.07033.1,normInt_A14.07034.1,normInt_A14.07036.1,normInt_A14.07037.1,normInt_A14.07038.1,medianNormInt_MG1655.LB,medianNormInt_NCM3722.LB,medianNormInt_MG1655.Glu,medianNormInt_NCM3722.Glu,medianNormInt_BW25113.LB,medianNormInt_BW25113.Glu
P00363,Fumarate reductase flavoprotein subunit OS=Escherichia coli (strain K12) GN=frdA PE=1 SV=3,frdA,65911.64933,14,734.56,5.98,2.55,0.74,0.75,4.99,0.00,0.00,0.23,0.19,0.00,417,37,184,44,362,47,36.59,6.55,4.44,10.15,12.85,15.27,1260325.20,2755261.06,1880403.95,1010563.20,1239883.44,1067176.56,266646.60,197010.28,245362.12,263892.64,341120.46,319645.49,2000741.66,1732246.22,1324951.51,259194.16,276241.14,330389.05,1260325.20,2767810.46,2328814.46,1100656.79,991545.93,978499.18,278392.97,304021.69,288662.26,273597.26,293163.59,333351.09,2329731.82,1943868.26,1830983.44,389230.32,299256.06,400341.70,2328814.46,991545.93,288662.26,293163.59,1943868.26,389230.32
P25798,Flagellar M-ring protein OS=Escherichia coli (strain K12) GN=fliF PE=1 SV=3,fliF,60534.19533,14,609.36,20.31,27.01,18.83,30.21,2.41,0.00,0.00,0.00,0.00,0.00,325,215,448,407,40,11,12.14,10.23,11.44,17.72,21.09,7.63,1832160.91,1616869.99,1672504.43,2055973.33,3427934.42,2657130.89,1871948.99,1100730.12,1328264.55,2728725.98,3170834.82,1926188.59,152820.89,241851.36,157505.95,60467.39,83266.41,65248.87,1832160.91,1624234.35,2071338.18,2239267.17,2741349.96,2436335.76,1954412.48,1698621.20,1562669.31,2829074.52,2725058.88,2008778.74,177949.86,271397.44,217661.39,90803.52,90203.72,79063.89,1832160.91,2436335.76,1698621.20,2725058.88,217661.39,90203.72
P08956,Type I restriction enzyme EcoKI R protein OS=Escherichia coli (strain K12) GN=hsdR PE=3 SV=3,hsdR,133993.5805,14,773.29,9.08,8.23,2.08,4.45,3.59,0.00,0.00,0.02,0.00,0.00,71,12,67,29,29,5,28.07,10.27,29.32,11.83,8.68,0.70,592655.30,931864.09,856270.58,649423.63,1061109.47,928758.78,309723.65,139157.29,161097.41,483228.10,534068.49,378660.18,273810.92,329815.08,270581.16,68619.44,94175.10,85330.24,592655.30,936108.46,1060461.14,707320.95,848578.78,851583.28,323367.66,214744.31,189526.99,500998.75,458985.78,394896.18,318834.77,370107.36,373922.83,103045.41,102021.27,103397.05,936108.46,848578.78,214744.31,458985.78,370107.36,103045.41
P0A7J3,50S ribosomal protein L10 OS=Escherichia coli (strain K12) GN=rplJ PE=1 SV=2,rplJ,17682.37957,13,734.87,1.65,2.06,1.00,1.16,1.66,0.01,0.00,0.83,0.07,0.01,92729,39955,119899,54718,97049,37783,15.56,9.60,8.60,3.89,15.90,3.60,132659547.90,96740292.12,91183941.23,109579608.80,178080518.20,153592878.10,74524069.59,44177602.64,56547669.86,77665743.97,92045459.69,71622685.77,79615979.06,114009912.00,82238912.55,44481778.13,63065544.58,59127832.90,132659547.90,97180915.40,112928118.80,119348834.10,142412590.60,140830029.10,77807019.74,68173852.21,66526888.99,80521891.65,79105129.11,74693687.22,92707561.16,127938076.60,113647998.20,66798019.49,68319826.44,71646857.68,112928118.80,140830029.10,68173852.21,79105129.11,113647998.20,68319826.44
P02358,30S ribosomal protein S6 OS=Escherichia coli (strain K12) GN=rpsF PE=1 SV=1,rpsF,15675.59882,13,1371.85,1.41,1.65,1.07,1.07,1.63,0.01,0.00,0.70,0.56,0.00,34794,18726,41970,22163,41701,16571,13.13,7.46,9.22,5.81,10.07,3.45,51653926.15,42422113.14,32750703.36,44993045.97,69936745.79,54070560.53,33596967.85,18893748.95,27312854.94,31080409.19,38884395.67,28568080.23,38493134.21,48815521.37,35539004.11,19885826.32,27816618.89,26251541.58,51653926.15,42615333.26,40560599.49,49004259.46,55929044.05,49577550.13,35076988.62,29156395.36,32132876.08,32223387.21,33417782.37,29793007.99,44822718.20,54779131.09,49112233.48,29862426.14,30134149.91,31809731.07,42615333.26,49577550.13,32132876.08,32223387.21,49112233.48,30134149.91
P0AF96,Uncharacterized protein yjgK OS=Escherichia coli (strain K12) GN=yjgK PE=1 SV=1,yjgK,16836.60419,13,782.94,0.04,0.03,0.07,0.04,0.48,0.00,0.00,0.00,0.00,0.00,751,1002,586,675,10213,13812,15.65,7.26,13.92,9.96,16.70,3.90,1029922.04,1145278.38,1127145.94,783918.20,1083092.92,1060388.24,2061115.29,1550423.06,1535467.07,1339257.20,1428949.29,1095652.04,16445935.83,13415636.18,10192760.79,22272065.83,28764211.65,25943388.12,1029922.04,1150494.78,1395930.78,853805.96,866159.14,972274.95,2151911.98,2392576.93,1806437.79,1388508.21,1228058.60,1142630.86,19150208.53,15054574.29,14085629.58,33445827.70,31160691.00,31436332.86,1150494.78,866159.14,2151911.98,1228058.60,15054574.29,31436332.86
P0A9T0,D-3-phosphoglycerate dehydrogenase OS=Escherichia coli (strain K12) GN=serA PE=1 SV=2,serA,44130.04277,13,834.95,0.06,0.04,1.18,0.70,0.05,0.00,0.00,0.27,0.02,0.00,839,12113,546,8517,779,9675,10.48,4.02,8.08,14.73,10.45,8.04,2036799.43,2309296.29,2029842.84,1327712.04,1821687.03,1695369.94,44959993.61,33512229.63,37494467.98,26975140.82,28141668.70,31148301.15,1912511.34,1845624.64,1307060.55,25635632.80,36678365.52,36904727.18,2036799.43,2319814.45,2513889.29,1446080.04,1456819.49,1554492.63,46940580.81,51715295.84,44111283.72,27967148.13,24185335.63,32483862.32,2226993.43,2071097.70,1806259.47,38496876.05,39734209.58,44718495.61,2319814.45,1456819.49,46940580.81,27967148.13,2071097.70,39734209.58
P0A6L2,Dihydrodipicolinate synthase OS=Escherichia coli (strain K12) GN=dapA PE=1 SV=1,dapA,31232.09735,13,938.66,0.69,0.76,0.96,1.12,0.67,0.01,0.00,0.54,0.07,0.00,4323,4312,4924,5927,4400,4234,14.48,5.96,7.47,6.31,8.32,0.91,7090275.57,9441848.72,7013289.13,8759845.35,12606076.67,9758074.04,10469780.61,8208874.72,10316237.18,13464293.33,18189392.43,13553708.91,7299406.36,8035805.69,5526000.17,8409842.24,11625999.08,10571190.73,7090275.57,9484853.54,8685713.05,9540801.81,10081192.79,8947223.78,10930997.61,12667745.16,12136789.50,13959440.97,15632213.05,14134858.02,8499677.70,9017510.03,7636517.04,12629009.66,12594614.76,12809409.05,8685713.05,9540801.81,12136789.50,14134858.02,8499677.70,12629009.66
P0ACA3,Stringent starvation protein A OS=Escherichia coli (strain K12) GN=sspA PE=1 SV=2,sspA,24271.40368,13,861.47,1.08,1.63,0.95,1.18,1.11,0.40,0.00,0.64,0.21,0.17,6681,4212,10451,6150,7153,4172,2.60,4.67,7.90,12.89,0.93,5.35,12391501.84,12339103.89,9562296.76,18021511.51,23377928.15,19500096.93,9469289.39,7500340.31,9304149.81,10885799.27,15754880.24,14004293.10,11047871.52,11368800.41,9136973.39,7650134.52,11049680.24,8878445.67,12391501.84,12395304.84,11842569.75,19628162.69,18695539.22,17879730.18,9886432.54,11574351.28,10946094.56,11286123.13,13539959.93,14604762.12,12864518.37,12757684.24,12626610.72,11488161.14,11970280.15,10758262.27,12391501.84,18695539.22,10946094.56,13539959.93,12757684.24,11488161.14
P0A9P4,Thioredoxin reductase OS=Escherichia coli (strain K12) GN=trxB PE=1 SV=2,trxB,34583.36117,13,1121.35,0.75,1.02,1.01,1.10,0.71,0.03,0.28,0.91,0.17,0.02,4211,4047,5983,5215,4144,3798,7.09,7.87,14.78,3.34,8.33,7.99,9383185.46,10723969.90,8414443.88,13043818.64,20353006.90,15573260.96,15437891.76,7755967.86,11926147.98,14774800.74,18252427.84,14077796.62,8468702.30,9688852.91,6673798.77,8298379.09,12880511.03,12040988.90,9383185.46,10772814.39,10420994.15,14206699.27,16276482.51,14279195.90,16117965.05,11968829.80,14030808.43,15318142.12,15686386.55,14681417.30,9861245.77,10872503.85,9222688.47,12461626.12,13953645.90,14590404.82,10420994.15,14279195.90,14030808.43,15318142.12,9861245.77,13953645.90
P0ABT2,DNA protection during starvation protein OS=Escherichia coli (strain K12) GN=dps PE=1 SV=2,dps,18665.72624,13,948,1.05,0.33,0.52,0.11,1.52,0.62,0.00,0.01,0.00,0.09,5749,2033,1894,511,8674,3704,49.64,0.53,14.24,13.74,65.99,3.14,4096993.42,12846478.46,8616043.06,3110534.47,4240414.24,3730511.41,5193890.88,2682870.92,4494606.68,1095572.83,1310927.16,845736.76,35784868.49,12333280.86,11203459.22,6832470.00,8943653.57,8423842.78,4096993.42,12904990.35,10670667.67,3387844.39,3391097.37,3420523.38,5422693.26,4140144.21,5287789.94,1135862.37,1126628.77,881999.84,41669121.24,13839991.67,15482338.88,10260279.22,9688790.67,10207407.16,10670667.67,3391097.37,5287789.94,1126628.77,15482338.88,10207407.16
P00954,Tryptophanyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=trpS PE=1 SV=3,trpS,37396.06115,13,747.33,0.65,0.68,0.84,1.10,0.68,0.01,0.00,0.18,0.62,0.02,3137,2870,3385,4441,3383,3227,6.20,1.85,4.07,16.86,11.28,6.46,8312938.86,7393781.60,6668102.17,7888958.11,10758775.90,9079662.49,10239930.14,6422179.85,8997590.86,10221896.13,17217028.37,13307607.79,8060872.38,7629872.12,5412854.11,7492380.83,11643961.44,10407322.99,8312938.86,7427458.08,8258211.08,8592273.36,8603889.77,8325185.06,10691021.72,9910559.05,10585435.79,10597805.04,14796550.06,13878204.69,9386354.70,8561985.06,7480157.69,11251263.36,12614073.66,12610845.90,8258211.08,8592273.36,10585435.79,13878204.69,8561985.06,12610845.90
P0AFK9,Spermidine/putrescine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=potD PE=1 SV=1,potD,38824.47978,13,635.3,0.71,0.76,0.96,0.72,0.74,0.02,0.00,0.56,0.00,0.02,2826,2744,3129,2431,3080,2686,9.12,2.62,4.84,2.32,12.39,4.59,8175663.84,6977066.28,5656542.14,6874144.78,8976199.08,8219563.07,8516699.65,6332078.40,8105569.03,6880349.17,8330201.72,7130131.32,5473269.60,7289573.19,5316367.19,6587507.21,8821657.90,8633794.63,8175663.84,7008844.75,7005429.40,7486987.54,7178347.07,7536555.87,8891879.12,9771516.59,9535994.89,7133373.12,7159089.48,7435853.50,6373261.78,8180113.09,7346820.01,9892420.08,9556630.97,10461811.72,7008844.75,7486987.54,9535994.89,7159089.48,7346820.01,9892420.08
P0A6D7,Shikimate kinase 1 OS=Escherichia coli (strain K12) GN=aroK PE=1 SV=2,aroK,19508.09251,13,843.37,1.05,1.48,1.05,1.17,1.05,0.57,0.00,0.76,0.06,0.53,4132,2950,6041,3880,4317,2658,13.68,0.95,2.46,1.00,12.33,6.32,8365924.24,7014916.50,5179793.92,9123673.43,12465654.29,10679231.49,6752079.95,4610870.57,5771294.26,7577472.86,9147695.70,7406308.91,5580141.48,7359720.79,5123027.57,4810620.48,5880610.98,5554565.43,8365924.24,7046867.36,6414993.42,9937065.84,9968895.76,9791837.36,7049524.01,7115388.57,6789780.26,7856133.44,7861655.01,7723872.90,6497707.04,8258830.36,7079639.19,7224079.93,6370551.85,6730623.11,7046867.36,9937065.84,7049524.01,7856133.44,7079639.19,6730623.11
P23893,"Glutamate-1-semialdehyde 2,1-aminomutase OS=Escherichia coli (strain K12) GN=hemL PE=1 SV=2",hemL,45318.36911,13,716.82,0.84,1.10,0.98,1.03,0.83,0.13,0.04,0.80,0.39,0.05,2861,2374,3856,2948,2928,2282,7.38,1.70,10.18,2.65,9.43,0.69,8364368.85,7233466.01,6095652.73,8998460.23,12628056.34,10703196.13,8234938.04,6678627.62,7459495.54,8827060.88,10743872.59,9220235.89,5583811.39,6983564.65,5376352.45,5886127.24,8262074.24,7377914.49,8364368.85,7266412.29,7549252.49,9800689.64,10098770.13,9813810.65,8597705.28,10306303.31,8775905.94,9151674.90,9233431.30,9615576.52,6501980.40,7836720.63,7429715.14,8839161.98,8950425.81,8940026.44,7549252.49,9813810.65,8775905.94,9233431.30,7429715.14,8940026.44
P0A715,2-dehydro-3-deoxyphosphooctonate aldolase OS=Escherichia coli (strain K12) GN=kdsA PE=1 SV=1,kdsA,30794.90121,13,947.18,0.93,0.88,1.03,0.82,1.03,0.61,0.05,0.73,0.03,0.50,3154,2482,3085,2322,3622,2278,4.21,6.65,2.07,8.95,5.20,4.43,9790310.21,9686345.97,8468104.79,8480773.72,10334137.49,10190597.06,10499975.41,6995945.62,8943772.84,7192974.24,10323027.61,8205167.20,10005659.64,9633023.91,7640498.82,6991175.03,10016514.26,8198478.82,9790310.21,9730464.40,10487451.30,9236850.43,8264302.61,9343806.16,10962522.56,10795981.09,10522120.26,7457494.93,8871751.36,8556984.22,11650931.30,10809854.43,10558595.30,10498605.62,10851036.33,9934327.32,9790310.21,9236850.43,10795981.09,8556984.22,10809854.43,10498605.62
P0AGJ9,Tyrosyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=tyrS PE=1 SV=2,tyrS,47479.05081,13,1159.78,0.89,1.20,0.99,1.22,0.87,0.18,0.01,0.85,0.04,0.07,2751,2179,3829,3175,2798,2076,3.56,0.90,6.47,5.61,9.89,3.87,8358512.26,8505199.42,7233105.88,10532200.41,14320568.07,12694930.68,9083229.53,6527288.32,7520547.69,11669386.30,12604957.93,11225801.96,6018009.13,7447296.46,6056001.82,6704142.94,8838359.33,7703524.21,8358512.26,8543938.07,8957948.40,11471165.61,11452286.97,11640041.38,9483365.89,10072760.01,8847732.23,12098526.47,10832873.54,11707136.24,7007575.06,8357104.82,8368939.50,10067571.24,9574723.88,9334576.90,8543938.07,11471165.61,9483365.89,11707136.24,8357104.82,9574723.88
P77239,Cation efflux system protein CusB OS=Escherichia coli (strain K12) GN=cusB PE=1 SV=1,cusB,44259.17524,13,789.42,0.04,0.05,0.91,1.61,0.05,0.00,0.00,0.63,0.05,0.00,113,1640,123,3423,142,1700,7.43,16.92,17.64,19.58,12.01,12.79,386063.35,360556.86,338958.22,469099.89,506426.08,405624.90,5796410.58,5594983.41,6684284.94,13609370.38,16175027.59,9340124.38,428895.24,350328.63,337353.58,5750584.11,8477310.69,5883300.41,386063.35,362199.09,419787.89,510921.01,404993.49,371919.37,6051755.29,8634048.68,7863890.47,14109853.22,13901040.32,9740605.53,499420.24,393126.97,466197.30,8635617.68,9183594.61,7128960.53,386063.35,404993.49,7863890.47,13901040.32,466197.30,8635617.68
P17854,Phosphoadenosine phosphosulfate reductase OS=Escherichia coli (strain K12) GN=cysH PE=1 SV=3,cysH,27940.45168,13,721.97,0.09,0.10,0.96,1.44,0.12,0.00,0.00,0.72,0.01,0.00,222,1654,258,2919,308,1619,11.63,11.26,4.00,5.07,24.82,6.73,577822.02,466350.14,390290.35,529879.68,576831.17,589981.17,4834497.85,3169055.84,4499294.88,7346319.16,8780441.83,6651958.11,806170.82,575007.51,439629.86,3301011.87,4832142.96,4673974.88,577822.02,468474.23,483360.94,577119.43,461297.07,540956.49,5047468.18,4890413.51,5293305.49,7616479.10,7546032.01,6937177.42,938732.80,645254.02,607535.43,4957109.73,5234731.11,5663586.78,483360.94,540956.49,5047468.18,7546032.01,645254.02,5234731.11
P00963,Aspartate--ammonia ligase OS=Escherichia coli (strain K12) GN=asnA PE=1 SV=1,asnA,36609.75524,13,826.63,0.41,0.18,0.89,1.41,0.18,0.00,0.00,0.22,0.00,0.01,917,1426,414,2678,432,1513,9.53,3.42,4.16,1.59,60.57,3.79,2517217.25,2841029.36,2458691.94,1117011.59,1626037.69,1355313.52,5957644.51,3901896.11,5556488.40,9599303.75,11236689.16,9488195.98,2857944.30,1152827.69,907260.76,4658246.22,6327292.65,6084582.51,2517217.25,2853969.40,3045003.89,1216595.24,1300356.95,1242693.31,6220091.93,6021315.62,6537066.66,9952316.90,9656964.61,9895026.07,3327887.80,1293664.34,1253766.21,6995260.42,6854448.63,7372859.72,2853969.40,1242693.31,6220091.93,9895026.07,1293664.34,6995260.42
P08244,Orotidine 5'-phosphate decarboxylase OS=Escherichia coli (strain K12) GN=pyrF PE=1 SV=1,pyrF,26315.46192,13,558.09,0.42,0.42,0.99,0.55,0.42,0.00,0.00,0.85,0.00,0.00,923,1561,965,1030,974,1495,10.38,2.95,9.19,3.01,9.94,1.18,2336460.61,1916296.01,1623884.71,1901430.02,2535315.17,2130329.32,4109112.27,3343598.97,4052091.33,2509851.22,3099642.38,2648188.84,1479171.42,1846018.73,1476826.81,3185563.62,4464279.88,4042320.00,2336460.61,1925024.16,2011124.36,2070946.03,2027514.32,1953308.93,4290127.76,5159764.41,4767181.93,2602150.67,2663875.13,2761736.55,1722397.65,2071539.93,2040863.69,4783741.79,4836219.66,4898192.81,2011124.36,2027514.32,4767181.93,2663875.13,2040863.69,4836219.66
P0A7G6,Protein recA OS=Escherichia coli (strain K12) GN=recA PE=1 SV=2,recA,37931.55831,13,1019.48,1.33,1.18,1.00,1.04,1.48,0.01,0.02,0.88,0.46,0.00,2698,1449,2467,1779,3105,1363,5.27,4.45,2.59,4.41,4.54,6.46,8723087.23,7925213.45,6447378.60,6804912.53,8484786.59,7678633.49,5587325.89,3980809.91,5105609.79,5715839.52,7528691.02,5994443.83,7588308.88,7761867.89,6855262.23,3651628.05,5750842.44,4942977.51,8723087.23,7961310.44,7984852.67,7411583.11,6785360.08,7040575.00,5833459.96,6143093.57,6006619.49,5926038.78,6470260.21,6251470.57,8836085.64,8710106.27,9473457.34,5483627.94,6229971.69,5989544.83,7984852.67,7040575.00,6006619.49,6251470.57,8836085.64,5989544.83
P0A993,"Fructose-1,6-bisphosphatase class 1 OS=Escherichia coli (strain K12) GN=fbp PE=1 SV=1",fbp,36792.64622,13,851.78,1.42,2.27,1.03,1.46,1.95,0.02,0.00,0.82,0.00,0.00,2365,1224,3924,2044,3371,1122,13.87,3.85,5.80,4.98,8.05,2.23,5402355.14,5873983.72,5698365.94,9125005.38,11529213.86,10301306.99,4098116.43,2604594.42,3837104.24,5841604.26,6621477.32,6026020.61,6178431.76,7508272.99,5853497.59,2767204.60,3935862.39,3366119.24,5402355.14,5900737.97,7057226.72,9938516.53,9220015.93,9445316.62,4278647.53,4019349.73,4514255.11,6056428.50,5690588.32,6284401.28,7194376.65,8425530.63,8089093.88,4155494.55,4263777.26,4078821.33,5900737.97,9445316.62,4278647.53,6056428.50,8089093.88,4155494.55
P40874,N-methyl-L-tryptophan oxidase OS=Escherichia coli (strain K12) GN=solA PE=1 SV=1,solA,40858.33116,13,820.95,0.41,0.46,0.94,1.05,0.35,0.00,0.00,0.41,0.32,0.00,622,1020,721,1349,553,1027,8.84,3.81,7.67,6.06,10.41,3.76,1780353.97,2114988.45,1568653.32,2095868.04,2650443.78,2367213.82,3827763.11,3010906.92,3791574.51,4750713.77,5815417.82,5271429.53,1424369.75,1576085.99,1040061.43,3087467.66,4394778.34,4119259.20,1780353.97,2124621.60,1942722.22,2282718.56,2119583.71,2170509.43,3996384.54,4646361.75,4460690.55,4925420.65,4997849.74,5497455.23,1658584.72,1768630.53,1437286.76,4636431.67,4760927.63,4991422.20,1942722.22,2170509.43,4460690.55,4997849.74,1658584.72,4760927.63
P31663,Pantothenate synthetase OS=Escherichia coli (strain K12) GN=panC PE=1 SV=1,panC,31559.67743,13,755.61,0.68,0.74,1.28,1.16,0.67,0.01,0.01,0.13,0.14,0.00,979,1324,1115,1417,1004,975,3.83,7.96,8.21,8.46,3.34,5.05,2750504.22,2923963.24,2221100.67,3074308.27,3778085.89,3128728.22,4411591.48,3501393.23,4431533.60,4883701.06,4971809.57,4531750.01,2330845.03,2295805.77,1985858.79,2604175.12,3989310.80,3358621.96,2750504.22,2937281.03,2750755.42,3348388.56,3021369.24,2868745.56,4605931.84,5403268.85,5213586.06,5063298.53,4272841.26,4726060.11,2714115.44,2576275.77,2744307.64,3910674.16,4321678.71,4069736.66,2750755.42,3021369.24,5213586.06,4726060.11,2714115.44,4069736.66
P77774,Lipoprotein yfgL OS=Escherichia coli (strain K12) GN=yfgL PE=1 SV=1,yfgL,41843.31901,13,846.42,1.04,1.16,0.98,1.20,1.10,0.99,0.21,0.82,0.15,0.63,1314,890,1528,1286,1449,854,1.39,10.37,7.86,13.91,6.22,10.47,4192367.81,4089284.97,3296990.96,3914733.01,6533322.52,5023375.52,3734573.03,2424979.55,3695514.24,4600494.58,5172490.50,5540472.48,3481466.82,3880212.99,3322991.70,3083383.48,3524078.92,3271560.04,4192367.81,4107910.45,4083207.88,4263738.72,5224756.73,4605956.54,3899089.24,3742172.22,4347678.09,4769677.18,4445309.20,5778034.07,4053938.69,4354244.10,4592124.86,4630298.48,3817686.22,3964241.29,4107910.45,4605956.54,3899089.24,4769677.18,4354244.10,3964241.29
P11557,Protein damX OS=Escherichia coli (strain K12) GN=damX PE=1 SV=2,damX,46116.34117,13,814.2,0.76,1.27,0.86,1.22,0.81,0.13,0.00,0.22,0.03,0.07,822,665,1431,1118,911,732,13.82,3.25,1.73,12.17,8.40,5.30,3337160.73,2687485.25,2103516.51,4163324.52,5956177.77,4888364.21,2930747.60,1946426.00,2643094.59,4030085.52,5073311.46,5008562.90,2257890.05,2773146.51,2081594.88,2167565.30,3301147.95,2946024.44,3337160.73,2699725.94,2605131.55,4534492.62,4763208.88,4482164.03,3059853.52,3003679.48,3109533.26,4178291.40,4360073.37,5223317.54,2629164.17,3111931.45,2876607.73,3255019.82,3576181.83,3569780.65,2699725.94,4534492.62,3059853.52,4360073.37,2876607.73,3569780.65
P0A867,Transaldolase A OS=Escherichia coli (strain K12) GN=talA PE=1 SV=1,talA,35618.46965,13,839.83,0.13,0.06,0.37,0.10,0.17,0.00,0.00,0.03,0.00,0.02,139,286,65,94,186,728,31.45,13.31,29.98,20.37,72.86,10.00,260517.57,484740.42,387161.18,198765.68,232937.87,265700.22,1247066.32,1412270.84,1172473.88,371127.29,313357.58,383970.37,1565223.85,476713.20,444259.37,2516551.43,2896400.89,3069997.02,260517.57,486948.27,479485.57,216486.01,186282.51,243621.78,1302002.35,2179383.62,1379385.56,384775.44,269303.80,400434.06,1822600.03,534951.47,613933.07,3779090.18,3137713.43,3720001.71,479485.57,216486.01,1379385.56,384775.44,613933.07,3720001.71
P26646,Putative quinone oxidoreductase YhdH OS=Escherichia coli (strain K12) GN=yhdH PE=1 SV=1,yhdH,34683.88067,13,656.79,0.76,0.44,0.72,0.65,0.69,0.04,0.00,0.06,0.00,0.16,779,524,462,563,735,687,19.88,2.69,9.87,6.09,24.74,3.31,1437415.61,2064287.07,1684445.01,1087798.18,1464831.09,1344274.83,1871298.70,1244665.68,1944078.94,1599091.27,2067984.06,1795950.95,2399196.92,1643870.62,1361368.13,1870279.43,2426458.68,2240716.79,1437415.61,2073689.29,2086126.17,1184777.41,1171438.58,1232571.89,1953733.55,1920739.22,2287159.21,1657897.64,1777253.83,1872956.83,2793706.72,1844696.15,1881308.48,2808587.41,2628618.16,2715139.54,2073689.29,1184777.41,1953733.55,1777253.83,1881308.48,2715139.54
P0ACP7,HTH-type transcriptional repressor purR OS=Escherichia coli (strain K12) GN=purR PE=1 SV=2,purR,38132.24798,13,862.81,0.41,0.56,0.88,1.36,0.47,0.00,0.00,0.43,0.01,0.00,409,628,576,1142,485,673,15.30,7.07,10.40,6.22,15.65,7.10,1225744.28,919238.12,981097.54,1377958.23,2158941.50,1800931.42,2815967.05,1549790.63,2224671.41,4270764.84,4691357.16,3783208.88,1020098.00,1235873.02,1176306.06,1817888.29,2904747.03,2452661.39,1225744.28,923424.98,1215054.96,1500805.76,1726524.91,1651282.46,2940016.63,2391600.98,2617269.08,4427821.66,4031816.62,3945423.41,1187836.90,1386855.01,1625566.60,2729911.94,3146754.92,2971958.77,1215054.96,1651282.46,2617269.08,4031816.62,1386855.01,2971958.77
P0AA16,Transcriptional regulatory protein ompR OS=Escherichia coli (strain K12) GN=ompR PE=1 SV=1,ompR,27318.15933,13,624.17,1.37,1.16,0.82,0.87,1.26,0.16,0.21,0.48,0.21,0.02,1327,564,1163,707,1271,653,18.83,10.67,15.03,8.48,10.43,4.87,2377162.66,3390249.23,2684208.02,2161423.99,3512895.65,3143760.87,1896399.10,1640536.05,1666691.15,2280978.46,2445603.09,1929934.50,3106848.94,2727249.27,2179222.63,1509548.76,2241270.23,2057786.04,2377162.66,3405690.81,3324297.65,2354118.94,2809294.22,2882529.06,1979939.67,2531637.19,1960819.56,2364861.15,2101784.80,2012685.26,3617720.86,3060427.11,3011521.94,2266880.32,2428000.80,2493477.20,3324297.65,2809294.22,1979939.67,2101784.80,3060427.11,2428000.80
P07004,Gamma-glutamyl phosphate reductase OS=Escherichia coli (strain K12) GN=proA PE=1 SV=2,proA,44584.18081,13,972.96,0.74,0.65,0.98,1.05,0.71,0.02,0.00,0.97,0.59,0.01,546,518,496,651,545,497,8.89,8.32,13.11,2.60,6.80,2.48,2054953.17,1896442.84,1834706.66,1563029.56,2253367.61,2183773.39,2617132.75,2112370.12,2158552.58,2849280.85,3266674.50,2790318.03,1694646.01,1964556.08,1414888.74,1835135.74,2664201.15,2292844.38,2054953.17,1905080.58,2272219.97,1702376.54,1802038.32,2002312.05,2732423.24,3259760.60,2539481.97,2954062.78,2807424.82,2909959.89,1973303.61,2204558.55,1955269.93,2755812.34,2886168.06,2778304.00,2054953.17,1802038.32,2732423.24,2909959.89,1973303.61,2778304.00
