# Generated by Mia G and Nora V on Nov 8 2024 based on Gupta et al 2024 carbon limited growth conditions 
# Table S1 https://doi.org/10.1038/s41467-024-49920-8
# The following uniprot ids were manually identified as they resulted in no ecocyc monomer if found through API
# {'P06710':'EG10245-MONOMER', 'P32132':'EG11837-MONOMER', 'P75960':'G6577-MONOMER'}
monomer_id	uniprot_id	half_life (units.min)	notes	assignment
CFA-MONOMER	P0A9H7	63.31027757999999	consistent	C-lim12_1
EG11299-MONOMER	P0A9J0	538.41142944	consistent	C-lim12_1
RIBOKIN-MONOMER	P0A9J6	732.9069588	consistent	C-lim12_1
G6363-MONOMER	P0A9K3	474.55808598000004	consistent	C-lim12_1
EG10735-MONOMER	P0A9K7	595.60023918	consistent	C-lim12_1
EG11663-MONOMER	P0A9K9	504.33289974	consistent	C-lim12_1
EG12352-MONOMER	P0A9L5	561.01119306	consistent	C-lim12_1
HYPOXANPRIBOSYLTRAN-MONOMER	P0A9M2	582.43274574	consistent	C-lim12_1
GPT-MONOMER	P0A9M5	630.2962146	consistent	C-lim12_1
PHOSACETYLTRANS-MONOMER	P0A9M8	671.2435332	consistent	C-lim12_1
PFLACTENZ-MONOMER	P0A9N4	598.14254808	consistent	C-lim12_1
THIOREDOXIN-REDUCT-NADPH-MONOMER	P0A9P4	683.55606	consistent	C-lim12_1
GLUCONREDUCT-MONOMER	P0A9P9	475.44037235999997	consistent	C-lim12_1
ARCA-MONOMER	P0A9Q1	640.447035	consistent	C-lim12_1
ADHE-MONOMER	P0A9Q7	585.03628584	consistent	C-lim12_1
ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER	P0A9Q9	601.6342596000001	consistent	C-lim12_1
FERREDOXIN-MONOMER	P0A9R4	398.75063526	consistent	C-lim12_1
FTSE-MONOMER	P0A9R7	617.7658308	consistent	C-lim12_1
LACTALDREDUCT-MONOMER	P0A9S1	647.5216356	consistent	C-lim12_1
PGLYCDEHYDROG-MONOMER	P0A9T0	744.3020670000001	consistent	C-lim12_1
G7854-MONOMER	P0A9W0	709.0388406000001	consistent	C-lim12_1
YJJK-MONOMER	P0A9W3	644.141031	consistent	C-lim12_1
G7657-MONOMER	P0A9W6	483.81110952	consistent	C-lim12_1
G7696-MONOMER	P0A9W9	688.149057	consistent	C-lim12_1
ZNUC-MONOMER	P0A9X1	472.30444476	consistent	C-lim12_1
EG10608-MONOMER	P0A9X4	756.9021606	consistent	C-lim12_1
EG12204-MONOMER	P0A9Y6	388.3536375	consistent	C-lim12_1
PROTEIN-PII	P0A9Z1	675.7940556000001	consistent	C-lim12_1
RED-THIOREDOXIN-MONOMER	P0AA25	584.5175293799999	consistent	C-lim12_1
G7449-MONOMER	P0AA41	715.8811578	consistent	C-lim12_1
G7014-MONOMER	P0AA57	610.2045696	consistent	C-lim12_1
G6406-MONOMER	P0AA84	437.17887618000003	consistent	C-lim12_1
EG12053-MONOMER	P0AA86	851.5950546	consistent	C-lim12_1
G6098-MONOMER	P0AA97	596.3076416399999	consistent	C-lim12_1
EG11396-MONOMER	P0AAB4	694.7532966	consistent	C-lim12_1
EG11877-MONOMER	P0AAB8	598.48508988	consistent	C-lim12_1
EG11246-MONOMER	P0AAC0	610.2339936	consistent	C-lim12_1
EG12132-MONOMER	P0AAC8	139.94626943999998	consistent	C-lim12_1
DPPD-MONOMER	P0AAG0	760.6813422	consistent	C-lim12_1
MGLA-MONOMER	P0AAG8	727.7721894	consistent	C-lim12_1
PSTB-MONOMER	P0AAH0	570.95557914	consistent	C-lim12_1
SAPD-MONOMER	P0AAH4	674.1971742000001	consistent	C-lim12_1
EG11506-MONOMER	P0AAI3	672.4545852	consistent	C-lim12_1
MALONYL-COA-ACP-TRANSACYL-MONOMER	P0AAI9	695.2009524	consistent	C-lim12_1
EG10484-MONOMER	P0AAN3	404.19769428	consistent	C-lim12_1
EG11256-MONOMER	P0AAN9	515.41711344	consistent	C-lim12_1
G6209-MONOMER	P0AAP3	575.60465274	consistent	C-lim12_1
EG12879-MONOMER	P0AAS7	285.90289698	consistent	C-lim12_1
G6324-MONOMER	P0AAT2	682.4087778	consistent	C-lim12_1
G6323-MONOMER	P0AAT4	843.2667174000001	consistent	C-lim12_1
EG12851-MONOMER	P0AAT9	517.06758024	consistent	C-lim12_1
G6380-MONOMER	P0AAV4	693.6629178000001	consistent	C-lim12_1
G6422-MONOMER	P0AAX8	710.8863054000001	consistent	C-lim12_1
G6472-MONOMER	P0AAZ7	595.58833704	consistent	C-lim12_1
G6496-MONOMER	P0AB12	794.1058494	consistent	C-lim12_1
EG12703-MONOMER	P0AB14	384.26522867999995	consistent	C-lim12_1
EG11117-MONOMER	P0AB26	774.485508	consistent	C-lim12_1
EG11119-MONOMER	P0AB28	449.99757611999996	consistent	C-lim12_1
G6565-MONOMER	P0AB38	693.181449	consistent	C-lim12_1
G6616-MONOMER	P0AB43	505.36447475999995	consistent	C-lim12_1
G6611-MONOMER	P0AB46	410.15392092	consistent	C-lim12_1
EG12691-MONOMER	P0AB58	775.568172	consistent	C-lim12_1
PNTB-MONOMER	P0AB67	926.4415896	consistent	C-lim12_1
FRUCTBISALD-CLASSII-MONOMER	P0AB71	597.13757808	consistent	C-lim12_1
BRANCHED-CHAINAMINOTRANSFER-MONOMER	P0AB80	657.4220406	consistent	C-lim12_1
EG10662-MONOMER	P0AB83	664.5964769999999	consistent	C-lim12_1
ASL-MONOMER	P0AB89	668.3235348	consistent	C-lim12_1
AROG-MONOMER	P0AB91	630.0221628	consistent	C-lim12_1
EG12237-MONOMER	P0AB96	586.1392128	consistent	C-lim12_1
ATPB-MONOMER	P0AB98	760.201452	consistent	C-lim12_1
ATPF-MONOMER	P0ABA0	778.197654	consistent	C-lim12_1
ATPH-MONOMER	P0ABA4	758.0248098	consistent	C-lim12_1
ATPG-MONOMER	P0ABA6	748.3521569999999	consistent	C-lim12_1
MGTA-MONOMER	P0ABB8	914.5406946	consistent	C-lim12_1
EG10435-MONOMER	P0ABC3	737.0234256000001	consistent	C-lim12_1
EG10436-MONOMER	P0ABC7	827.303637	consistent	C-lim12_1
BETT-MONOMER	P0ABC9	780.8682719999999	consistent	C-lim12_1
CARBOXYL-TRANSFERASE-ALPHA-MONOMER	P0ABD5	792.2109846000001	consistent	C-lim12_1
EG10690-MONOMER	P0ABF1	412.43932344	consistent	C-lim12_1
G7287-MONOMER	P0ABF4	750.6367716	consistent	C-lim12_1
CYTIDEAM-MONOMER	P0ABF6	676.0547196	consistent	C-lim12_1
EG10339-MONOMER	P0ABH0	624.9513479999999	consistent	C-lim12_1
CITSYN-MONOMER	P0ABH7	661.4261862	consistent	C-lim12_1
EG10156-MONOMER	P0ABH9	80.65639956	consistent	C-lim12_1
CORA-MONOMER	P0ABI4	712.6661742	consistent	C-lim12_1
CYOB-MONOMER	P0ABI8	880.2630894	consistent	C-lim12_1
CYDA-MONOMER	P0ABJ9	860.8884102000001	consistent	C-lim12_1
DEOD-MONOMER	P0ABP8	813.958899	consistent	C-lim12_1
TSA-REDUCT-MONOMER	P0ABQ2	616.9653834	consistent	C-lim12_1
DIHYDROFOLATEREDUCT-MONOMER	P0ABQ4	756.2635572	consistent	C-lim12_1
EG10239-MONOMER	P0ABS5	739.337607	consistent	C-lim12_1
EG11415-MONOMER	P0ABT2	269.3478165	consistent	C-lim12_1
EG11311-MONOMER	P0ABT5	437.7502035	consistent	C-lim12_1
NAPHTHOATE-SYN-MONOMER	P0ABU0	612.4092696	consistent	C-lim12_1
EG11404-MONOMER	P0ABU2	568.451145	consistent	C-lim12_1
EG11383-MONOMER	P0ABU5	666.9004536	consistent	C-lim12_1
EG11010-MONOMER	P0ABU9	773.6569446000001	consistent	C-lim12_1
EG10272-MONOMER	P0ABV2	144.54365676	consistent	C-lim12_1
EG11011-MONOMER	P0ABV6	745.9680204	consistent	C-lim12_1
EG10322-MONOMER	P0ABX8	189.77738826	consistent	C-lim12_1
G7663-MONOMER	P0ABZ4	756.704673	consistent	C-lim12_1
EG10985-MONOMER	P0ABZ6	739.4855328	consistent	C-lim12_1
EG11158-MONOMER	P0AC28	527.85603348	consistent	C-lim12_1
FUMA-MONOMER	P0AC33	519.03530754	consistent	C-lim12_1
ASPARTASE-MONOMER	P0AC38	421.33786482	consistent	C-lim12_1
SDH-FLAVO	P0AC41	753.7922472	consistent	C-lim12_1
GLU6PDEHYDROG-MONOMER	P0AC53	763.7362092	consistent	C-lim12_1
GRXB-MONOMER	P0AC59	780.6727308	consistent	C-lim12_1
EG12181-MONOMER	P0AC69	421.860708	consistent	C-lim12_1
KDOTRANS-MONOMER	P0AC75	712.3503833999999	consistent	C-lim12_1
GLYCOPHOSPHORYL-MONOMER	P0AC86	631.2868632	consistent	C-lim12_1
MONOMER0-1701	P0AC92	660.7753044	consistent	C-lim12_1
EG11762-MONOMER	P0ACA1	678.1801601999999	consistent	C-lim12_1
EG10977-MONOMER	P0ACA3	680.1520074	consistent	C-lim12_1
G6438-MONOMER	P0ACA7	581.0516627999999	consistent	C-lim12_1
PROTOPORGENOXI-MONOMER	P0ACB4	593.5204665	consistent	C-lim12_1
EG10434-MONOMER	P0ACB7	829.1355474	consistent	C-lim12_1
G7324-MONOMER	P0ACD4	151.72780566	consistent	C-lim12_1
EG10466-MONOMER	P0ACF0	609.7443215999999	consistent	C-lim12_1
PD00208	P0ACH8	253.786155	consistent	C-lim12_1
PD04418	P0ACI0	684.6445452	consistent	C-lim12_1
EG20253-MONOMER	P0ACI3	561.43389444	consistent	C-lim12_1
PD00353	P0ACJ0	653.3110752	consistent	C-lim12_1
PD00257	P0ACJ8	629.5763526	consistent	C-lim12_1
G7630-MONOMER	P0ACK2	618.2337246000001	consistent	C-lim12_1
PD00444	P0ACK8	94.68549978	consistent	C-lim12_1
G7546-MONOMER	P0ACL5	147.71752674	consistent	C-lim12_1
G6814-MONOMER	P0ACM2	639.5906976	consistent	C-lim12_1
G6276-MONOMER	P0ACN4	700.625913	consistent	C-lim12_1
PD00521	P0ACP1	634.256991	consistent	C-lim12_1
PD00219	P0ACP7	674.1237438	consistent	C-lim12_1
PD00214	P0ACQ4	668.7192666	consistent	C-lim12_1
G7257-MONOMER	P0ACR7	818.90346	consistent	C-lim12_1
EG10603-MONOMER	P0ACR9	683.9782338	consistent	C-lim12_1
PD04132	P0ACS2	207.49752552	consistent	C-lim12_1
EG12116-MONOMER	P0ACS9	673.1044428	consistent	C-lim12_1
PD01352	P0ACU2	806.1388032	consistent	C-lim12_1
EG11394-MONOMER	P0ACU5	759.7172694	consistent	C-lim12_1
G6662-MONOMER	P0ACV6	564.8017844999999	consistent	C-lim12_1
G6969-MONOMER	P0ACY3	305.61614742	consistent	C-lim12_1
G6319-MONOMER	P0ACZ8	552.3939291600001	consistent	C-lim12_1
DCUR-MONOMER	P0AD01	304.48018836	consistent	C-lim12_1
MONOMER0-2677	P0AD10	505.76246862	consistent	C-lim12_1
G7089-MONOMER	P0AD12	577.85596032	consistent	C-lim12_1
EG12043-MONOMER	P0AD24	636.2124456	consistent	C-lim12_1
EG12049-MONOMER	P0AD27	780.0664800000001	consistent	C-lim12_1
EG12139-MONOMER	P0AD44	812.7377292	consistent	C-lim12_1
EG11151-MONOMER	P0AD49	166.0874313	consistent	C-lim12_1
OPPSYN-MONOMER	P0AD57	610.1595432	consistent	C-lim12_1
G6104-MONOMER	P0AD59	631.307376	consistent	C-lim12_1
EG10606-MONOMER	P0AD65	741.060438	consistent	C-lim12_1
EG10341-MONOMER	P0AD68	179.54490131999998	consistent	C-lim12_1
EG12867-MONOMER	P0AD70	396.6685488	consistent	C-lim12_1
LIVJ-MONOMER	P0AD96	689.297682	consistent	C-lim12_1
EG12182-MONOMER	P0ADA5	760.6128294	consistent	C-lim12_1
EG10044-MONOMER	P0ADB1	695.7639576	consistent	C-lim12_1
YCFU-MONOMER	P0ADC3	761.9182182000001	consistent	C-lim12_1
G7889-MONOMER	P0ADC6	756.8810507999999	consistent	C-lim12_1
G7395-MONOMER	P0ADE6	635.8464041999999	consistent	C-lim12_1
G7511-MONOMER	P0ADE8	588.26143878	consistent	C-lim12_1
SMALLILVN-MONOMER	P0ADF8	301.90045302	consistent	C-lim12_1
IMP-DEHYDROG-MONOMER	P0ADG7	755.4049776	consistent	C-lim12_1
ENTB-MONOMER	P0ADI4	375.13938984	consistent	C-lim12_1
EG12378-MONOMER	P0ADI7	696.165201	consistent	C-lim12_1
EG12273-MONOMER	P0ADK0	874.1458404	consistent	C-lim12_1
EG11187-MONOMER	P0ADK6	317.75974278	consistent	C-lim12_1
EG11712-MONOMER	P0ADM4	588.737307	consistent	C-lim12_1
EG11722-MONOMER	P0ADM8	424.06255782000005	consistent	C-lim12_1
EG11730-MONOMER	P0ADN0	524.12420292	consistent	C-lim12_1
EG11202-MONOMER	P0ADP0	666.1223382000001	consistent	C-lim12_1
EG11830-MONOMER	P0ADP9	516.30829314	consistent	C-lim12_1
B0899-MONOMER	P0ADQ7	671.0646108000001	consistent	C-lim12_1
EG12373-MONOMER	P0ADR8	689.127762	consistent	C-lim12_1
EG12705-MONOMER	P0ADS9	545.80232106	consistent	C-lim12_1
EG11164-MONOMER	P0ADT2	376.96375974	consistent	C-lim12_1
EG11165-MONOMER	P0ADT5	603.7964676	consistent	C-lim12_1
EG12434-MONOMER	P0ADT8	670.3928513999999	consistent	C-lim12_1
G7574-MONOMER	P0ADU5	454.29395999999997	consistent	C-lim12_1
G7659-MONOMER	P0ADV7	519.62190684	consistent	C-lim12_1
G7664-MONOMER	P0ADV9	750.6865266000001	consistent	C-lim12_1
EG10343-MONOMER	P0ADX9	669.1924349999999	consistent	C-lim12_1
G7327-MONOMER	P0AE01	597.9092830200001	consistent	C-lim12_1
EG11703-MONOMER	P0AE06	735.1334766	consistent	C-lim12_1
EG11384-MONOMER	P0AE08	485.77239114	consistent	C-lim12_1
G7244-MONOMER	P0AE39	557.97904842	consistent	C-lim12_1
G7873-MONOMER	P0AE45	540.15239976	consistent	C-lim12_1
CHEY-MONOMER	P0AE67	363.95465465999996	consistent	C-lim12_1
G6361-MONOMER	P0AE78	627.2193594	consistent	C-lim12_1
CPXA-MONOMER	P0AE82	669.5933826	consistent	C-lim12_1
SIROHEMESYN-MONOMER	P0AEA8	607.8459336000001	consistent	C-lim12_1
MONOMER0-82	P0AEB5	716.5969572	consistent	C-lim12_1
G6997-MONOMER	P0AEC0	778.3801488	consistent	C-lim12_1
ARCB-MONOMER	P0AEC3	661.9101882	consistent	C-lim12_1
BARA-MONOMER	P0AEC5	696.4459836	consistent	C-lim12_1
EG11390-MONOMER	P0AED0	712.023342	consistent	C-lim12_1
EG11140-MONOMER	P0AED5	249.56882358	consistent	C-lim12_1
EG11652-MONOMER	P0AEE3	727.2695946	consistent	C-lim12_1
MGLB-MONOMER	P0AEE5	697.389447	consistent	C-lim12_1
DPPB-MONOMER	P0AEF8	846.6922205999999	consistent	C-lim12_1
DPPC-MONOMER	P0AEG1	843.0261594	consistent	C-lim12_1
DSBC-MONOMER	P0AEG6	713.7181326	consistent	C-lim12_1
EG12436-MONOMER	P0AEH1	462.73024338	consistent	C-lim12_1
G7174-MONOMER	P0AEH3	457.40270934	consistent	C-lim12_1
G7173-MONOMER	P0AEH5	626.8898561999999	consistent	C-lim12_1
G6364-MONOMER	P0AEI1	166.50253146	consistent	C-lim12_1
G6580-MONOMER	P0AEI6	776.7613212	consistent	C-lim12_1
EUTB-MONOMER	P0AEJ6	701.5184028	consistent	C-lim12_1
ENOYL-ACP-REDUCT-NADH-MONOMER	P0AEK4	714.0375612	consistent	C-lim12_1
EG11080-MONOMER	P0AEM0	620.9855988	consistent	C-lim12_1
FMNREDUCT-MONOMER	P0AEN1	602.7675432	consistent	C-lim12_1
GLUC1PURIDYLTRANS-MONOMER	P0AEP3	694.5335934	consistent	C-lim12_1
G7543-MONOMER	P0AEQ1	587.70575694	consistent	C-lim12_1
GLNH-MONOMER	P0AEQ3	761.865333	consistent	C-lim12_1
GSP-MONOMER	P0AES0	652.7698326	consistent	C-lim12_1
GLUCARDEHYDRA-MONOMER	P0AES2	546.69230952	consistent	C-lim12_1
EG10423-MONOMER	P0AES4	508.63784669999995	consistent	C-lim12_1
EG10424-MONOMER	P0AES6	621.4943094	consistent	C-lim12_1
7-ALPHA-HYDROXYSTEROID-DEH-MONOMER	P0AET8	659.3422134	consistent	C-lim12_1
HISJ-MONOMER	P0AEU0	791.898282	consistent	C-lim12_1
HISM-MONOMER	P0AEU3	731.7923592	consistent	C-lim12_1
EG10455-MONOMER	P0AEU7	624.431196	consistent	C-lim12_1
EG12121-MONOMER	P0AEV1	543.48723882	consistent	C-lim12_1
G7579-MONOMER	P0AEW4	753.8249873999999	consistent	C-lim12_1
1-PFK-MONOMER	P0AEW9	766.2568938000001	consistent	C-lim12_1
EG11637-MONOMER	P0AEY1	688.7869913999999	consistent	C-lim12_1
EG10572-MONOMER	P0AEY3	393.45166692000004	consistent	C-lim12_1
EG12656-MONOMER	P0AEY5	427.64459424	consistent	C-lim12_1
METHYLENETHFREDUCT-MONOMER	P0AEZ1	526.3545279599999	consistent	C-lim12_1
MONOMER0-1501	P0AEZ9	678.0410268	consistent	C-lim12_1
EG11511-MONOMER	P0AF03	593.8855568399999	consistent	C-lim12_1
EG10611-MONOMER	P0AF08	628.2220758	consistent	C-lim12_1
EG11090-MONOMER	P0AF12	816.7016346	consistent	C-lim12_1
EG10634-MONOMER	P0AF24	743.6555004	consistent	C-lim12_1
NARL-MONOMER	P0AF28	659.5678776000001	consistent	C-lim12_1
EG11878-MONOMER	P0AF36	563.46562914	consistent	C-lim12_1
EG11936-MONOMER	P0AF50	488.64037152000003	consistent	C-lim12_1
EG11212-MONOMER	P0AF63	547.43199312	consistent	C-lim12_1
G7834-MONOMER	P0AF70	674.0120502	consistent	C-lim12_1
G7877-MONOMER	P0AF93	693.7194252	consistent	C-lim12_1
G7883-MONOMER	P0AF96	496.31195316000003	consistent	C-lim12_1
NARX-MONOMER	P0AFA2	667.4963874	consistent	C-lim12_1
EG12371-MONOMER	P0AFB1	696.3950795999999	consistent	C-lim12_1
PROTEIN-NRII	P0AFB5	665.7571115999999	consistent	C-lim12_1
PROTEIN-NRI	P0AFB8	483.40490166	consistent	C-lim12_1
NUOA-MONOMER	P0AFC3	798.7758504	consistent	C-lim12_1
NUOH-MONOMER	P0AFD4	910.2941022	consistent	C-lim12_1
EG10665-MONOMER	P0AFF6	716.5661412	consistent	C-lim12_1
E1O-MONOMER	P0AFG3	521.86757328	consistent	C-lim12_1
E1P-MONOMER	P0AFG8	751.0810385999999	consistent	C-lim12_1
EG10668-MONOMER	P0AFH0	647.7021557999999	consistent	C-lim12_1
EG10686-MONOMER	P0AFI2	372.7689021	consistent	C-lim12_1
G7310-MONOMER	P0AFI9	755.0090328	consistent	C-lim12_1
PHOB-MONOMER	P0AFJ5	533.6836632000001	consistent	C-lim12_1
PITA-MONOMER	P0AFJ7	903.9011333999999	consistent	C-lim12_1
EG10741-MONOMER	P0AFK0	576.4472875800001	consistent	C-lim12_1
EG10757-MONOMER	P0AFL3	556.75651002	consistent	C-lim12_1
PPX-MONOMER	P0AFL6	414.92142948	consistent	C-lim12_1
EG10776-MONOMER	P0AFM6	567.35702748	consistent	C-lim12_1
YBHR-MONOMER	P0AFP9	781.254087	consistent	C-lim12_1
EG12120-MONOMER	P0AFR0	683.92365	consistent	C-lim12_1
G6862-MONOMER	P0AFS3	733.7181864	consistent	C-lim12_1
EG10839-MONOMER	P0AFW0	445.02381293999997	consistent	C-lim12_1
G6337-MONOMER	P0AFW4	124.94661216	consistent	C-lim12_1
G6097-MONOMER	P0AFW8	226.45371984	consistent	C-lim12_1
EG11681-MONOMER	P0AFX0	510.77922659999996	consistent	C-lim12_1
EG11738-MONOMER	P0AFX4	311.90965631999995	consistent	C-lim12_1
G7348-MONOMER	P0AFX9	629.8729266	consistent	C-lim12_1
EG12025-MONOMER	P0AFY2	688.1517306000001	consistent	C-lim12_1
SBMA-MONOMER	P0AFY6	737.1495762	consistent	C-lim12_1
EG11601-MONOMER	P0AFZ1	416.8087107	consistent	C-lim12_1
EG10978-MONOMER	P0AFZ3	460.3926453	consistent	C-lim12_1
UBIX-MONOMER	P0AG03	734.5394592	consistent	C-lim12_1
PRPPAMIDOTRANS-MONOMER	P0AG16	349.36819884	consistent	C-lim12_1
PURE-MONOMER	P0AG18	602.2223934000001	consistent	C-lim12_1
RELA-MONOMER	P0AG20	500.77479636	consistent	C-lim12_1
EG12295-MONOMER	P0AG27	714.7953114	consistent	C-lim12_1
EG10845-MONOMER	P0AG30	699.5350632	consistent	C-lim12_1
EG10878-MONOMER	P0AG44	805.983057	consistent	C-lim12_1
EG50001-MONOMER	P0AG48	753.1696542	consistent	C-lim12_1
EG10916-MONOMER	P0AG63	761.5181784	consistent	C-lim12_1
EG10900-MONOMER	P0AG67	617.5164654	consistent	C-lim12_1
EG11094-MONOMER	P0AG76	607.4422559999999	consistent	C-lim12_1
UGPB-MONOMER	P0AG80	804.8908626	consistent	C-lim12_1
PSTS-MONOMER	P0AG82	721.443858	consistent	C-lim12_1
SECB	P0AG86	720.3904134	consistent	C-lim12_1
SECD	P0AG90	841.1287152	consistent	C-lim12_1
PSERPHOSPHA-MONOMER	P0AGB0	656.1708732	consistent	C-lim12_1
G6886-MONOMER	P0AGD1	678.1275654	consistent	C-lim12_1
SUPEROX-DISMUTFE-MONOMER	P0AGD3	710.4399264	consistent	C-lim12_1
SUCCCOASYN-ALPHA	P0AGE9	644.0927982	consistent	C-lim12_1
EG11786-MONOMER	P0AGJ5	661.4981982	consistent	C-lim12_1
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER	P0AGK1	156.76515084	consistent	C-lim12_1
G7326-MONOMER	P0AGK8	146.61302478000002	consistent	C-lim12_1
G7626-MONOMER	P0AGL2	661.5345264	consistent	C-lim12_1
EG10879-MONOMER	P0C018	615.3820896	consistent	C-lim12_1
EG11534-MONOMER	P0C054	124.95733229999999	consistent	C-lim12_1
EG11131-MONOMER	P0C077	408.41317704	consistent	C-lim12_1
EG11191-MONOMER	P0C093	645.2714046	consistent	C-lim12_1
EG11831-MONOMER	P0C0K3	670.7157108	consistent	C-lim12_1
EG10680-MONOMER	P0C0L2	737.4616391999999	consistent	C-lim12_1
EG10463-MONOMER	P0C0V0	669.4071264	consistent	C-lim12_1
G6622-MONOMER	P0C960	396.79707534	consistent	C-lim12_1
EG11037-MONOMER	P0CE48	601.0905846	consistent	C-lim12_1
G7255-MONOMER	P0CF93	176.86446798	consistent	C-lim12_1
RCSB-MONOMER	P0DMC7	454.58773121999997	consistent	C-lim12_1
EG10346-MONOMER	P10121	740.530788	consistent	C-lim12_1
GLNQ-MONOMER	P10346	748.9227432	consistent	C-lim12_1
EG10280-MONOMER	P10384	666.261426	consistent	C-lim12_1
LIPIDADISACCHARIDESYNTH-MONOMER	P10441	668.280696	consistent	C-lim12_1
EG10238-MONOMER	P10443	499.61666004	consistent	C-lim12_1
N-ACETYLGLUTPREDUCT-MONOMER	P11446	592.59780114	consistent	C-lim12_1
ARGSUCCINLYA-MONOMER	P11447	636.6171918	consistent	C-lim12_1
QUINOLINATE-SYNTHA-MONOMER	P11458	126.85243829999999	consistent	C-lim12_1
EG11183-MONOMER	P11557	559.8371232000001	consistent	C-lim12_1
EG11162-MONOMER	P11663	272.8018824	consistent	C-lim12_1
ARGS-MONOMER	P11875	619.1797386	consistent	C-lim12_1
AROC-MONOMER	P12008	756.4615524000001	consistent	C-lim12_1
EG10153-MONOMER	P12281	685.412334	consistent	C-lim12_1
URPHOS-MONOMER	P12758	910.4916288	consistent	C-lim12_1
BIOTIN-SYN-MONOMER	P12996	108.589866	consistent	C-lim12_1
7KAPSYN-MONOMER	P12998	552.20362986	consistent	C-lim12_1
HYDROPEROXIDI-MONOMER	P13029	739.9855584000001	consistent	C-lim12_1
AERGLYC3PDEHYDROG-MONOMER	P13035	322.8819705	consistent	C-lim12_1
EG11237-MONOMER	P13656	735.4480602	consistent	C-lim12_1
EG11014-MONOMER	P14294	220.51130964	consistent	C-lim12_1
HYDG-MONOMER	P14375	450.85714229999996	consistent	C-lim12_1
FUMB-MONOMER	P14407	636.822447	consistent	C-lim12_1
EG10574-MONOMER	P15005	502.89920801999995	consistent	C-lim12_1
EG10827-MONOMER	P15032	426.55825296	consistent	C-lim12_1
EG10534-MONOMER	P15042	600.3854256000001	consistent	C-lim12_1
EG10381-MONOMER	P15067	652.8202992	consistent	C-lim12_1
FGAMSYN-MONOMER	P15254	650.9903178000001	consistent	C-lim12_1
EG10695-MONOMER	P15288	683.628018	consistent	C-lim12_1
EG10955-MONOMER	P15373	357.49955747999996	consistent	C-lim12_1
AICARTRANSIMPCYCLO-CPLX	P15639	594.42747744	consistent	C-lim12_1
DGTPTRIPHYDRO-MONOMER	P15723	717.6681209999999	consistent	C-lim12_1
AMYLOMALT-MONOMER	P15977	867.9239508000001	consistent	C-lim12_1
AROP-MONOMER	P15993	715.1810952	consistent	C-lim12_1
EG10595-MONOMER	P16384	555.83771046	consistent	C-lim12_1
EG10943-MONOMER	P16456	536.8161843600001	consistent	C-lim12_1
EG11038-MONOMER	P16525	706.4469012	consistent	C-lim12_1
PROS-MONOMER	P16659	678.7506666	consistent	C-lim12_1
EG10712-MONOMER	P16681	606.6869502	consistent	C-lim12_1
CYSP-MONOMER	P16700	616.7461092	consistent	C-lim12_1
MEND-MONOMER	P17109	808.359696	consistent	C-lim12_1
L-GLN-FRUCT-6-P-AMINOTRANS-MONOMER	P17169	619.9853171999999	consistent	C-lim12_1
BADH-MONOMER	P17445	673.717101	consistent	C-lim12_1
PAPSSULFOTRANS-MONOMER	P17854	255.35594586	consistent	C-lim12_1
EG10763-MONOMER	P17888	625.6512186	consistent	C-lim12_1
UDP-NACMUR-ALA-LIG-MONOMER	P17952	615.3412079999999	consistent	C-lim12_1
NICOTINATEPRIBOSYLTRANS-MONOMER	P18133	348.51849852000004	consistent	C-lim12_1
EG10596-MONOMER	P18196	626.3112623999999	consistent	C-lim12_1
ACETYLORNTRANSAM-MONOMER	P18335	563.14929696	consistent	C-lim12_1
PD00361	P18811	525.96972402	consistent	C-lim12_1
PD02936	P19323	468.60273215999996	consistent	C-lim12_1
PDXA-MONOMER	P19624	614.246091	consistent	C-lim12_1
EUTC-MONOMER	P19636	543.54275316	consistent	C-lim12_1
MALX-MONOMER	P19642	162.6610431	consistent	C-lim12_1
GLUCOSE-1-PHOSPHAT-MONOMER	P19926	791.0697882	consistent	C-lim12_1
EG10687-MONOMER	P20083	463.34635751999997	consistent	C-lim12_1
EG10307-MONOMER	P20605	688.2199968	consistent	C-lim12_1
FRUA-MONOMER	P20966	832.8161586	consistent	C-lim12_1
EG10698-MONOMER	P21165	669.1073382	consistent	C-lim12_1
HYDROPEROXIDII-MONOMER	P21179	656.7879006000001	consistent	C-lim12_1
EG11126-MONOMER	P21362	687.8991252	consistent	C-lim12_1
EG11125-MONOMER	P21363	691.8814044	consistent	C-lim12_1
EG11241-MONOMER	P21367	700.3876032000001	consistent	C-lim12_1
NICOTINAMID-MONOMER	P21369	649.5296448	consistent	C-lim12_1
EG10859-MONOMER	P21513	632.8276169999999	consistent	C-lim12_1
MALTODEXGLUCOSID-MONOMER	P21517	470.72828561999995	consistent	C-lim12_1
PKII-MONOMER	P21599	720.2384292	consistent	C-lim12_1
KDPE-MONOMER	P21866	627.9170682	consistent	C-lim12_1
CYSS-MONOMER	P21888	596.2618862400001	consistent	C-lim12_1
ASNSYNB-MONOMER	P22106	511.69882494	consistent	C-lim12_1
UDP-NACMURALGLDAPLIG-MONOMER	P22188	559.8890706	consistent	C-lim12_1
EG10043-MONOMER	P22255	639.168585	consistent	C-lim12_1
