monomer_id	degradation_rate(1/s)	half_life_(min)	degradation_rate_source
EG11247-MONOMER	2.0976824458098716e-05	550.7245881	Gupta_et_al_MS_2024
EG11249-MONOMER	2.0828664390649346e-05	554.64204486	Gupta_et_al_MS_2024
EG11250-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11251-MONOMER	0.0006845526851246939	16.87591512	Gupta_et_al_MS_2024
EG11252-MONOMER	1.674918866271339e-05	689.7320964000002	Gupta_et_al_MS_2024
EG11253-MONOMER	1.4846732444838921e-05	778.1141778	Gupta_et_al_MS_2024
EG11254-MONOMER	1.7891665136708066e-05	645.6890916	Gupta_et_al_MS_2024
EG11255-MONOMER	5.846680556200443e-05	197.58994695	Gupta_et_al_MS_2024
EG11256-MONOMER	2.2413794008951257e-05	515.41711344	Gupta_et_al_MS_2024
EG11257-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11259-MONOMER	1.5837563492573804e-05	729.4337297999998	Gupta_et_al_MS_2024
EG11260-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11261-MONOMER	1.949563653077017e-05	592.5660847800001	Gupta_et_al_MS_2024
EG11263-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11266-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11267-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11268-MONOMER	2.1100413609219954e-05	547.49888904	Gupta_et_al_MS_2024
EG11269-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11270-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11271-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11272-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11274-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11275-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11276-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11277-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11279-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11280-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11281-MONOMER	1.9791807457116012e-05	583.6987366800001	Gupta_et_al_MS_2024
EG11285-MONOMER	2.0666579837397757e-05	558.9920103000002	Gupta_et_al_MS_2024
EG11287-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11288-MONOMER	1.9663365821596988e-05	587.51147256	Gupta_et_al_MS_2024
EG11289-MONOMER	0.000127844631582926	90.36322343999998	Gupta_et_al_MS_2024
EG11290-MONOMER	1.71623960959689e-05	673.1258819999999	Gupta_et_al_MS_2024
EG11291-MONOMER	1.9878025845169577e-05	581.1670182600002	Gupta_et_al_MS_2024
EG11292-MONOMER	2.034488439355872e-05	567.83085054	Gupta_et_al_MS_2024
EG11293-MONOMER	1.5482538700964396e-05	746.1601248	Gupta_et_al_MS_2024
EG11294-MONOMER	1.7629340121121897e-05	655.2969612000002	Gupta_et_al_MS_2024
EG11295-MONOMER	2.8996113051814958e-05	398.4138490799999	Gupta_et_al_MS_2024
EG11296-MONOMER	1.9609884802106912e-05	589.11376206	Gupta_et_al_MS_2024
EG11298-MONOMER	2.102636520242425e-05	549.42701214	Gupta_et_al_MS_2024
EG11299-MONOMER	2.1456552327182376e-05	538.41142944	Gupta_et_al_MS_2024
EG11300-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11301-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11302-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11303-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11305-MONOMER	0.00012513382494817594	92.32078547999998	Gupta_et_al_MS_2024
EG11306-MONOMER	7.366385656573043e-05	156.82661142	Gupta_et_al_MS_2024
EG11309-MONOMER	1.6983827156339482e-05	680.2031663999999	Gupta_et_al_MS_2024
EG11310-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11311-MONOMER	2.6390514309223895e-05	437.7502035	Gupta_et_al_MS_2024
EG11312-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11315-MONOMER	1.808592702187534e-05	638.7537113999999	Gupta_et_al_MS_2024
EG11320-MONOMER	2.060805357829696e-05	560.57953098	Gupta_et_al_MS_2024
EG11323-MONOMER	2.117894034728828e-05	545.4688865400001	Gupta_et_al_MS_2024
EG11333-MONOMER	2.58637878887526e-05	446.6651620800001	Gupta_et_al_MS_2024
EG11334-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11336-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11338-MONOMER	2.5591204888352598e-05	451.42278606	Gupta_et_al_MS_2024
EG11339-MONOMER	2.2792574361470065e-05	506.85160992000016	Gupta_et_al_MS_2024
EG11340-MONOMER	1.639442685135757e-05	704.6573274	Gupta_et_al_MS_2024
EG11341-MONOMER	1.6043293994947597e-05	720.0798671999999	Gupta_et_al_MS_2024
EG11342-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11344-MONOMER	1.6551933198416038e-05	697.951887	Gupta_et_al_MS_2024
EG11345-MONOMER	1.890311981315557e-05	611.1400194	Gupta_et_al_MS_2024
EG11346-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11350-MONOMER	2.046419164069215e-05	564.5203686599999	Gupta_et_al_MS_2024
EG11351-MONOMER	1.690857511008339e-05	683.230428	Gupta_et_al_MS_2024
EG11352-MONOMER	1.7278843047225243e-05	668.5894986	Gupta_et_al_MS_2024
EG11353-MONOMER	1.8221983159765406e-05	633.9843972	Gupta_et_al_MS_2024
EG11354-MONOMER	1.3081308607321793e-05	883.1267081999999	Gupta_et_al_MS_2024
EG11355-MONOMER	5.287199797751715e-05	218.49851436	Gupta_et_al_MS_2024
EG11356-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11357-MONOMER	1.8198118587331514e-05	634.815789	Gupta_et_al_MS_2024
EG11359-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11360-MONOMER	3.149026072051088e-05	366.8579664	Gupta_et_al_MS_2024
EG11361-MONOMER	1.6483850481665566e-05	700.8346151999999	Gupta_et_al_MS_2024
EG11362-MONOMER	5.1209418282158005e-05	225.59234994	Gupta_et_al_MS_2024
EG11364-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11371-MONOMER	2.0745281782584213e-05	556.8713469600001	Gupta_et_al_MS_2024
EG11372-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11373-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11376-MONOMER	1.714953300384325e-05	673.6307634	Gupta_et_al_MS_2024
EG11378-MONOMER	4.438210210965869e-05	260.2953096	Gupta_et_al_MS_2024
EG11381-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11383-MONOMER	1.732260481601271e-05	666.9004536	Gupta_et_al_MS_2024
EG11384-MONOMER	2.378161711130058e-05	485.77239113999997	Gupta_et_al_MS_2024
EG11385-MONOMER	2.5539275231159723e-05	452.34067547999996	Gupta_et_al_MS_2024
EG11388-MONOMER	0.0008457051038291677	13.660143419999999	Gupta_et_al_MS_2024
EG11389-MONOMER	0.0010072378790477521	11.4694386	Gupta_et_al_MS_2024
EG11390-MONOMER	1.6224823440314154e-05	712.0233420000001	Gupta_et_al_MS_2024
EG11391-MONOMER	2.331068951192286e-05	495.58607022	Gupta_et_al_MS_2024
EG11394-MONOMER	1.5206253003115453e-05	759.7172694	Gupta_et_al_MS_2024
EG11395-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11396-MONOMER	1.662813701765517e-05	694.7532966	Gupta_et_al_MS_2024
EG11398-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11399-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11400-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11401-MONOMER	2.4444864221406178e-05	472.5922347	Gupta_et_al_MS_2024
EG11404-MONOMER	2.032268403528754e-05	568.4511449999999	Gupta_et_al_MS_2024
EG11410-MONOMER	2.450982057574089e-05	471.33976250999996	Gupta_et_al_MS_2024
EG11412-MONOMER	2.107152830012042e-05	548.24941242	Gupta_et_al_MS_2024
EG11413-MONOMER	1.783505763982155e-05	647.7384734400001	Gupta_et_al_MS_2024
EG11414-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11415-MONOMER	4.289046467667363e-05	269.3478165	Gupta_et_al_MS_2024
EG11422-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11423-MONOMER	1.621984529560589e-05	712.2418739999999	Gupta_et_al_MS_2024
EG11424-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11425-MONOMER	1.8162200364840435e-05	636.0712235999999	Gupta_et_al_MS_2024
EG11426-MONOMER	9.409299417708158e-05	122.77697303999999	Gupta_et_al_MS_2024
EG11429-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11430-MONOMER	1.7717522725224962e-05	652.035456	Gupta_et_al_MS_2024
EG11431-MONOMER	0.0001019081565262711	113.36141682	Gupta_et_al_MS_2024
EG11432-MONOMER	2.296152026034422e-05	503.1223054199999	Gupta_et_al_MS_2024
EG11433-MONOMER	2.23237283752078e-05	517.4965765200001	Gupta_et_al_MS_2024
EG11436-MONOMER	1.6066586086624065e-05	719.0359512	Gupta_et_al_MS_2024
EG11437-MONOMER	1.5845572205217062e-05	729.0650573999999	Gupta_et_al_MS_2024
EG11438-MONOMER	2.180590556848646e-05	529.78551948	Gupta_et_al_MS_2024
EG11440-MONOMER	2.925927912933541e-05	394.83040434	Gupta_et_al_MS_2024
EG11441-MONOMER	2.055786440053026e-05	561.94810824	Gupta_et_al_MS_2024
EG11445-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11447-MONOMER	2.2298653178631465e-05	518.0785098	Gupta_et_al_MS_2024
EG11449-MONOMER	1.9161995701734854e-05	602.883603	Gupta_et_al_MS_2024
EG11450-MONOMER	4.0155801988367234e-05	287.6907554399999	Gupta_et_al_MS_2024
EG11462-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11464-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11465-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11466-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11467-MONOMER	3.362060075450425e-05	343.61233143	Gupta_et_al_MS_2024
EG11470-MONOMER	2.059351039073872e-05	560.97541362	Gupta_et_al_MS_2024
EG11471-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11472-MONOMER	2.460923816741522e-05	469.43562131999994	Gupta_et_al_MS_2024
EG11474-MONOMER	2.4631432330714477e-05	469.01263614	Gupta_et_al_MS_2024
EG11479-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11481-MONOMER	2.1256071068959756e-05	543.48957396	Gupta_et_al_MS_2024
EG11484-MONOMER	1.2830869496859806e-05	900.364002	Gupta_et_al_MS_2024
EG11486-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11488-MONOMER	1.3978549402989173e-05	826.4414766000001	Gupta_et_al_MS_2024
EG11489-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11494-MONOMER	1.3916434558063943e-05	830.1302292	Gupta_et_al_MS_2024
EG11495-MONOMER	8.763339893064447e-05	131.82705623999996	Gupta_et_al_MS_2024
EG11497-MONOMER	1.9748306069754554e-05	584.9845029	Gupta_et_al_MS_2024
EG11498-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11499-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11500-MONOMER	1.6994502867459113e-05	679.7758722000001	Gupta_et_al_MS_2024
EG11503-MONOMER	1.974138594955452e-05	585.18956262	Gupta_et_al_MS_2024
EG11505-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11506-MONOMER	1.7179528943053477e-05	672.4545852	Gupta_et_al_MS_2024
EG11507-MONOMER	1.5486114852234437e-05	745.9878167999999	Gupta_et_al_MS_2024
EG11508-MONOMER	8.763002884497684e-05	131.83212605999998	Gupta_et_al_MS_2024
EG11509-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11511-MONOMER	1.9452321876291723e-05	593.8855568399998	Gupta_et_al_MS_2024
EG11512-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11514-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11515-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11516-MONOMER	8.416602579674567e-05	137.25791256	Gupta_et_al_MS_2024
EG11517-MONOMER	1.8736725664087317e-05	616.567335	Gupta_et_al_MS_2024
EG11519-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11520-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11521-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11522-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11523-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11524-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11525-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11526-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11529-MONOMER	1.9799367827315557e-05	583.4758518599999	Gupta_et_al_MS_2024
EG11533-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11534-MONOMER	9.24511815088775e-05	124.9573323	Gupta_et_al_MS_2024
EG11535-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11536-MONOMER	1.540543118607681e-05	749.8948176	Gupta_et_al_MS_2024
EG11537-MONOMER	1.9110510737725643e-05	604.5078108	Gupta_et_al_MS_2024
EG11538-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11544-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11545-MONOMER	0.0002869623737149074	40.257727380000006	Gupta_et_al_MS_2024
EG11547-MONOMER	3.059116487374946e-05	377.64018	Gupta_et_al_MS_2024
EG11548-MONOMER	2.093208585422471e-05	551.90166378	Gupta_et_al_MS_2024
EG11549-MONOMER	1.8957469711366907e-05	609.3879185999999	Gupta_et_al_MS_2024
EG11551-MONOMER	1.9758830744859452e-05	584.6729069400001	Gupta_et_al_MS_2024
EG11552-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11554-MONOMER	2.2824227391220156e-05	506.14869942	Gupta_et_al_MS_2024
EG11562-MONOMER	2.5238209818996776e-05	457.7366260200001	Gupta_et_al_MS_2024
EG11563-MONOMER	2.0986124383622314e-05	550.48053648	Gupta_et_al_MS_2024
EG11564-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11565-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11568-MONOMER	1.745123134104024e-05	661.9849788000002	Gupta_et_al_MS_2024
EG11569-MONOMER	1.4306392546699537e-05	807.5028678	Gupta_et_al_MS_2024
EG11570-MONOMER	1.6536844344324413e-05	698.5887251999999	Gupta_et_al_MS_2024
EG11571-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11578-MONOMER	2.26100773173204e-05	510.9426583200001	Gupta_et_al_MS_2024
EG11579-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11580-MONOMER	1.8191553198992124e-05	635.044896	Gupta_et_al_MS_2024
EG11581-MONOMER	2.2293965692758403e-05	518.1874399799999	Gupta_et_al_MS_2024
EG11591-MONOMER	1.840549519101616e-05	627.6632543399999	Gupta_et_al_MS_2024
EG11592-MONOMER	7.996874100006596e-05	144.46210938000004	Gupta_et_al_MS_2024
EG11594-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11595-MONOMER	8.358360119360068e-05	138.2143488	Gupta_et_al_MS_2024
EG11597-MONOMER	1.9377500697699912e-05	596.1786914400001	Gupta_et_al_MS_2024
EG11598-MONOMER	2.250741510762971e-05	513.27320148	Gupta_et_al_MS_2024
EG11599-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11600-MONOMER	1.931814891477698e-05	598.0103508	Gupta_et_al_MS_2024
EG11601-MONOMER	2.77164385310732e-05	416.80871069999995	Gupta_et_al_MS_2024
EG11603-MONOMER	1.685509472706877e-05	685.3982844000001	Gupta_et_al_MS_2024
EG11604-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11605-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11607-MONOMER	2.0547287196264503e-05	562.2373843800001	Gupta_et_al_MS_2024
EG11613-MONOMER	1.6266417641481904e-05	710.2026558	Gupta_et_al_MS_2024
EG11619-MONOMER	1.6305988076476128e-05	708.4791767999999	Gupta_et_al_MS_2024
EG11620-MONOMER	2.5776890506425888e-05	448.17093071999994	Gupta_et_al_MS_2024
EG11634-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11635-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11637-MONOMER	1.677217071979159e-05	688.7869914	Gupta_et_al_MS_2024
EG11639-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11643-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11644-MONOMER	2.47457443198475e-05	466.8460507799999	Gupta_et_al_MS_2024
EG11645-MONOMER	2.3893200924341367e-05	483.50378192999995	Gupta_et_al_MS_2024
EG11646-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11649-MONOMER	1.4799777909411234e-05	780.5828628	Gupta_et_al_MS_2024
EG11650-MONOMER	5.453943788832863e-05	211.81833654000002	Gupta_et_al_MS_2024
EG11651-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11652-MONOMER	1.5884691309948545e-05	727.2695946	Gupta_et_al_MS_2024
EG11653-MONOMER	2.3712943384802815e-05	487.1792093400001	Gupta_et_al_MS_2024
EG11656-MONOMER	3.486394216139054e-05	331.35819684	Gupta_et_al_MS_2024
EG11659-MONOMER	2.3196549054614995e-05	498.02464074000005	Gupta_et_al_MS_2024
EG11660-MONOMER	2.470538531602278e-05	467.60869590000004	Gupta_et_al_MS_2024
EG11661-MONOMER	3.1917830303234e-05	361.9435563	Gupta_et_al_MS_2024
EG11662-MONOMER	1.9690578813670444e-05	586.69951344	Gupta_et_al_MS_2024
EG11663-MONOMER	2.2906403717243284e-05	504.3328997400001	Gupta_et_al_MS_2024
EG11664-MONOMER	3.506871934715026e-05	329.42329301999996	Gupta_et_al_MS_2024
EG11665-MONOMER	2.0994003692340005e-05	550.2739343400001	Gupta_et_al_MS_2024
EG11666-MONOMER	2.2310379160591313e-05	517.80621594	Gupta_et_al_MS_2024
EG11671-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11674-MONOMER	3.063094817844039e-05	377.14970303999996	Gupta_et_al_MS_2024
EG11676-MONOMER	1.7226149741189623e-05	670.6346562	Gupta_et_al_MS_2024
EG11678-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11681-MONOMER	2.261731176154379e-05	510.7792266	Gupta_et_al_MS_2024
EG11682-MONOMER	3.274906948066024e-05	352.75667958	Gupta_et_al_MS_2024
EG11683-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11684-MONOMER	1.588020607887175e-05	727.4750057999998	Gupta_et_al_MS_2024
EG11685-MONOMER	1.4233634926454778e-05	811.6305546	Gupta_et_al_MS_2024
EG11688-MONOMER	1.9917890383885774e-05	580.0038451199999	Gupta_et_al_MS_2024
EG11690-MONOMER	1.7601030333376866e-05	656.35095165	Gupta_et_al_MS_2024
EG11691-MONOMER	4.2267929139640817e-05	273.31485702000003	Gupta_et_al_MS_2024
EG11692-MONOMER	4.45034691756697e-05	259.58544858	Gupta_et_al_MS_2024
EG11694-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11695-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11696-MONOMER	3.331416076862109e-05	346.77304614	Gupta_et_al_MS_2024
EG11697-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11702-MONOMER	1.666200295895649e-05	693.341193	Gupta_et_al_MS_2024
EG11703-MONOMER	1.5714769327010706e-05	735.1334766	Gupta_et_al_MS_2024
EG11705-MONOMER	2.5646596371213753e-05	450.44780376000006	Gupta_et_al_MS_2024
EG11707-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11711-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11712-MONOMER	1.9622423909569607e-05	588.737307	Gupta_et_al_MS_2024
EG11713-MONOMER	1.5859098992238836e-05	728.443212	Gupta_et_al_MS_2024
EG11714-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11719-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11721-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11722-MONOMER	2.72423320481787e-05	424.06255782000005	Gupta_et_al_MS_2024
EG11723-MONOMER	1.7153916097804667e-05	673.4586402	Gupta_et_al_MS_2024
EG11724-MONOMER	1.5150105763928247e-05	762.5328291	Gupta_et_al_MS_2024
EG11725-MONOMER	2.7600864868354247e-05	418.55402229	Gupta_et_al_MS_2024
EG11726-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11727-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11728-MONOMER	5.9508681993870455e-05	194.13054738	Gupta_et_al_MS_2024
EG11729-MONOMER	0.00010202155136137072	113.23541796	Gupta_et_al_MS_2024
EG11730-MONOMER	2.204144159909314e-05	524.1242029199999	Gupta_et_al_MS_2024
EG11731-MONOMER	1.633974586737536e-05	707.0154642	Gupta_et_al_MS_2024
EG11733-MONOMER	1.9816328822800217e-05	582.976449	Gupta_et_al_MS_2024
EG11734-MONOMER	0.0009308470610834939	12.410688599999999	Gupta_et_al_MS_2024
EG11735-MONOMER	3.180891362628851e-05	363.18288468	Gupta_et_al_MS_2024
EG11736-MONOMER	1.4324433914671235e-05	806.4858323999999	Gupta_et_al_MS_2024
EG11738-MONOMER	3.7037817763103556e-05	311.90965632	Gupta_et_al_MS_2024
EG11739-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11740-MONOMER	1.6936266934009847e-05	682.1133048	Gupta_et_al_MS_2024
EG11741-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11743-MONOMER	1.939343909876448e-05	595.68872496	Gupta_et_al_MS_2024
EG11744-MONOMER	1.781129399042406e-05	648.6026796	Gupta_et_al_MS_2024
EG11748-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11749-MONOMER	2.2303090290643997e-05	517.9754401199999	Gupta_et_al_MS_2024
EG11750-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11757-MONOMER	1.867445972997409e-05	618.623145	Gupta_et_al_MS_2024
EG11758-MONOMER	2.5112489489343338e-05	460.02818693999996	Gupta_et_al_MS_2024
EG11759-MONOMER	1.796169458014358e-05	643.171665	Gupta_et_al_MS_2024
EG11760-MONOMER	4.492434141885537e-05	257.15353068	Gupta_et_al_MS_2024
EG11761-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11762-MONOMER	1.7034489782074313e-05	678.1801602	Gupta_et_al_MS_2024
EG11763-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11764-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11765-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11768-MONOMER	1.703484586648395e-05	678.1659840000001	Gupta_et_al_MS_2024
EG11769-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11775-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11776-MONOMER	2.6201441146662242e-05	440.90906850000005	Gupta_et_al_MS_2024
EG11779-MONOMER	2.318483964189157e-05	498.27616613999993	Gupta_et_al_MS_2024
EG11782-MONOMER	1.426185685212218e-05	810.0244679999998	Gupta_et_al_MS_2024
EG11783-MONOMER	0.00014657493627568834	78.81601932	Gupta_et_al_MS_2024
EG11784-MONOMER	6.147473795959986e-05	187.92195611999998	Gupta_et_al_MS_2024
EG11785-MONOMER	2.3159782216616437e-05	498.81526956	Gupta_et_al_MS_2024
EG11786-MONOMER	1.7464073282085655e-05	661.4981982	Gupta_et_al_MS_2024
EG11790-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11793-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11794-MONOMER	1.8327298124090633e-05	630.3413046	Gupta_et_al_MS_2024
EG11796-MONOMER	1.6948457390411324e-05	681.6226836000002	Gupta_et_al_MS_2024
EG11798-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11800-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11802-MONOMER	1.63748726611688e-05	705.4987998	Gupta_et_al_MS_2024
EG11803-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11804-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11805-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11806-MONOMER	1.9888817370520978e-05	580.85168133	Gupta_et_al_MS_2024
EG11807-MONOMER	3.0351112852719975e-05	380.62699926	Gupta_et_al_MS_2024
EG11808-MONOMER	0.00017228083122375692	67.05593958	Gupta_et_al_MS_2024
EG11811-MONOMER	1.6404291714563378e-05	704.2335755999999	Gupta_et_al_MS_2024
EG11812-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11815-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11816-MONOMER	2.0888332391506233e-05	553.05769713	Gupta_et_al_MS_2024
EG11817-MONOMER	2.2115975067097276e-05	522.3578419800001	Gupta_et_al_MS_2024
EG11820-MONOMER	1.8081536630057717e-05	638.90880768	Gupta_et_al_MS_2024
EG11822-MONOMER	3.4236805245147826e-05	337.4278916100001	Gupta_et_al_MS_2024
EG11824-MONOMER	2.655848964583399e-05	434.9815506599999	Gupta_et_al_MS_2024
EG11825-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11826-MONOMER	3.576622859466624e-05	322.99891443	Gupta_et_al_MS_2024
EG11828-MONOMER	2.0237139387530313e-05	570.85405146	Gupta_et_al_MS_2024
EG11829-MONOMER	2.5860309268656254e-05	446.7252456	Gupta_et_al_MS_2024
EG11830-MONOMER	2.237510642928973e-05	516.30829314	Gupta_et_al_MS_2024
EG11831-MONOMER	1.7224067996786844e-05	670.7157108	Gupta_et_al_MS_2024
EG11832-MONOMER	7.499305551635164e-05	154.04697047999997	Gupta_et_al_MS_2024
EG11833-MONOMER	3.194939873015414e-05	361.58592863999996	Gupta_et_al_MS_2024
EG11835-MONOMER	2.2567043406702514e-05	511.91699334	Gupta_et_al_MS_2024
EG11837-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11838-MONOMER	1.7585421667288582e-05	656.9335229999999	Gupta_et_al_MS_2024
EG11839-MONOMER	4.2224657466006246e-05	273.59494908000005	Gupta_et_al_MS_2024
EG11843-MONOMER	1.5312975848834192e-05	754.4224664999999	Gupta_et_al_MS_2024
EG11844-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11845-MONOMER	3.7609791480799586e-05	307.16610102	Gupta_et_al_MS_2024
EG11846-MONOMER	1.9929606545988045e-05	579.6628740600001	Gupta_et_al_MS_2024
EG11847-MONOMER	3.171410745734122e-05	364.26858378	Gupta_et_al_MS_2024
EG11848-MONOMER	2.3236288941954387e-05	497.1728935800001	Gupta_et_al_MS_2024
EG11849-MONOMER	1.704852222237524e-05	677.621958	Gupta_et_al_MS_2024
EG11850-MONOMER	1.982732100306454e-05	582.6532493999999	Gupta_et_al_MS_2024
EG11851-MONOMER	4.521420399708104e-05	255.50495171999998	Gupta_et_al_MS_2024
EG11852-MONOMER	1.8127889719508098e-05	637.2751152000002	Gupta_et_al_MS_2024
EG11853-MONOMER	1.917233446632179e-05	602.5584954000001	Gupta_et_al_MS_2024
EG11854-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11855-MONOMER	1.925408834888737e-05	600.0	N_end_rule
EG11859-MONOMER	2.0862798070634112e-05	553.73459352	Gupta_et_al_MS_2024
EG11860-MONOMER	2.926691370984196e-05	394.7274087	Gupta_et_al_MS_2024
